Statistic,Quarter,Sub.Head,value
"Current, Capital and Financial Account Balances BPM6",2002Q1,Current account,-147
"Current, Capital and Financial Account Balances BPM6",2002Q1,Capital account,5
"Current, Capital and Financial Account Balances BPM6",2002Q1,Merchandise,9581
"Current, Capital and Financial Account Balances BPM6",2002Q1,Services,-3828
"Current, Capital and Financial Account Balances BPM6",2002Q1,Primary income,-5592
"Current, Capital and Financial Account Balances BPM6",2002Q1,Invisibles,-9728
"Current, Capital and Financial Account Balances BPM6",2002Q1,Secondary income,-308
"Current, Capital and Financial Account Balances BPM6",2002Q1,Financial account,-2200
"Current, Capital and Financial Account Balances BPM6",2002Q1,Net Errors and omissions,-2058
"Current, Capital and Financial Account Balances BPM6",2002Q1,Direct investment,-6205
"Current, Capital and Financial Account Balances BPM6",2002Q1,Portfolio investment,13891
"Current, Capital and Financial Account Balances BPM6",2002Q1,Other investment,-9621
"Current, Capital and Financial Account Balances BPM6",2002Q2,Current account,-749
"Current, Capital and Financial Account Balances BPM6",2002Q2,Capital account,21
"Current, Capital and Financial Account Balances BPM6",2002Q2,Merchandise,9087
"Current, Capital and Financial Account Balances BPM6",2002Q2,Services,-3651
"Current, Capital and Financial Account Balances BPM6",2002Q2,Primary income,-5871
"Current, Capital and Financial Account Balances BPM6",2002Q2,Invisibles,-9836
"Current, Capital and Financial Account Balances BPM6",2002Q2,Secondary income,-314
"Current, Capital and Financial Account Balances BPM6",2002Q2,Financial account,-123
"Current, Capital and Financial Account Balances BPM6",2002Q2,Net Errors and omissions,605
"Current, Capital and Financial Account Balances BPM6",2002Q2,Direct investment,-1379
"Current, Capital and Financial Account Balances BPM6",2002Q2,Portfolio investment,-940
"Current, Capital and Financial Account Balances BPM6",2002Q2,Other investment,2432
"Current, Capital and Financial Account Balances BPM6",2002Q3,Current account,474
"Current, Capital and Financial Account Balances BPM6",2002Q3,Capital account,28
"Current, Capital and Financial Account Balances BPM6",2002Q3,Merchandise,9540
"Current, Capital and Financial Account Balances BPM6",2002Q3,Services,-3441
"Current, Capital and Financial Account Balances BPM6",2002Q3,Primary income,-5328
"Current, Capital and Financial Account Balances BPM6",2002Q3,Invisibles,-9066
"Current, Capital and Financial Account Balances BPM6",2002Q3,Secondary income,-297
"Current, Capital and Financial Account Balances BPM6",2002Q3,Financial account,-1672
"Current, Capital and Financial Account Balances BPM6",2002Q3,Net Errors and omissions,-2174
"Current, Capital and Financial Account Balances BPM6",2002Q3,Direct investment,-8473
"Current, Capital and Financial Account Balances BPM6",2002Q3,Portfolio investment,11495
"Current, Capital and Financial Account Balances BPM6",2002Q3,Other investment,-4824
