,Statistic,Quarter,State,value
0,General Government Surplus/Deficit - ESA2010 Code (B9),2000Q1,State,1184.0
1,General Government Surplus/Deficit - ESA2010 Code (B9),2000Q2,State,2953.0
2,General Government Surplus/Deficit - ESA2010 Code (B9),2000Q3,State,769.0
3,General Government Surplus/Deficit - ESA2010 Code (B9),2000Q4,State,362.0
4,General Government Surplus/Deficit - ESA2010 Code (B9),2001Q1,State,787.0
5,General Government Surplus/Deficit - ESA2010 Code (B9),2001Q2,State,1940.0
6,General Government Surplus/Deficit - ESA2010 Code (B9),2001Q3,State,-441.0
7,General Government Surplus/Deficit - ESA2010 Code (B9),2001Q4,State,-1115.0
8,General Government Surplus/Deficit - ESA2010 Code (B9),2002Q1,State,-551.0
9,General Government Surplus/Deficit - ESA2010 Code (B9),2002Q2,State,257.0
10,General Government Surplus/Deficit - ESA2010 Code (B9),2002Q3,State,156.0
11,General Government Surplus/Deficit - ESA2010 Code (B9),2002Q4,State,-569.0
12,General Government Surplus/Deficit - ESA2010 Code (B9),2003Q1,State,-287.0
13,General Government Surplus/Deficit - ESA2010 Code (B9),2003Q2,State,306.0
14,General Government Surplus/Deficit - ESA2010 Code (B9),2003Q3,State,-359.0
15,General Government Surplus/Deficit - ESA2010 Code (B9),2003Q4,State,845.0
16,General Government Surplus/Deficit - ESA2010 Code (B9),2004Q1,State,799.0
17,General Government Surplus/Deficit - ESA2010 Code (B9),2004Q2,State,714.0
18,General Government Surplus/Deficit - ESA2010 Code (B9),2004Q3,State,-521.0
19,General Government Surplus/Deficit - ESA2010 Code (B9),2004Q4,State,1037.0
20,General Government Surplus/Deficit - ESA2010 Code (B9),2005Q1,State,808.0
21,General Government Surplus/Deficit - ESA2010 Code (B9),2005Q2,State,-255.0
22,General Government Surplus/Deficit - ESA2010 Code (B9),2005Q3,State,57.0
23,General Government Surplus/Deficit - ESA2010 Code (B9),2005Q4,State,2064.0
24,General Government Surplus/Deficit - ESA2010 Code (B9),2006Q1,State,1928.0
25,General Government Surplus/Deficit - ESA2010 Code (B9),2006Q2,State,-424.0
26,General Government Surplus/Deficit - ESA2010 Code (B9),2006Q3,State,-543.0
27,General Government Surplus/Deficit - ESA2010 Code (B9),2006Q4,State,4171.0
28,General Government Surplus/Deficit - ESA2010 Code (B9),2007Q1,State,1433.0
29,General Government Surplus/Deficit - ESA2010 Code (B9),2007Q2,State,-1593.0
30,General Government Surplus/Deficit - ESA2010 Code (B9),2007Q3,State,-2150.0
31,General Government Surplus/Deficit - ESA2010 Code (B9),2007Q4,State,2838.0
32,General Government Surplus/Deficit - ESA2010 Code (B9),2008Q1,State,-1817.0
33,General Government Surplus/Deficit - ESA2010 Code (B9),2008Q2,State,-4565.0
34,General Government Surplus/Deficit - ESA2010 Code (B9),2008Q3,State,-4276.0
35,General Government Surplus/Deficit - ESA2010 Code (B9),2008Q4,State,-2509.0
36,General Government Surplus/Deficit - ESA2010 Code (B9),2009Q1,State,-4916.0
37,General Government Surplus/Deficit - ESA2010 Code (B9),2009Q2,State,-8038.0
38,General Government Surplus/Deficit - ESA2010 Code (B9),2009Q3,State,-6619.0
39,General Government Surplus/Deficit - ESA2010 Code (B9),2009Q4,State,-3943.0
40,General Government Surplus/Deficit - ESA2010 Code (B9),2010Q1,State,-16526.0
41,General Government Surplus/Deficit - ESA2010 Code (B9),2010Q2,State,-6318.0
42,General Government Surplus/Deficit - ESA2010 Code (B9),2010Q3,State,-13611.0
43,General Government Surplus/Deficit - ESA2010 Code (B9),2010Q4,State,-17309.0
44,General Government Surplus/Deficit - ESA2010 Code (B9),2011Q1,State,-4429.0
45,General Government Surplus/Deficit - ESA2010 Code (B9),2011Q2,State,-3938.0
46,General Government Surplus/Deficit - ESA2010 Code (B9),2011Q3,State,-11392.0
47,General Government Surplus/Deficit - ESA2010 Code (B9),2011Q4,State,-3561.0
48,General Government Surplus/Deficit - ESA2010 Code (B9),2012Q1,State,-4728.0
49,General Government Surplus/Deficit - ESA2010 Code (B9),2012Q2,State,-4023.0
50,General Government Surplus/Deficit - ESA2010 Code (B9),2012Q3,State,-3428.0
51,General Government Surplus/Deficit - ESA2010 Code (B9),2012Q4,State,-2686.0
52,General Government Surplus/Deficit - ESA2010 Code (B9),2013Q1,State,-4057.0
53,General Government Surplus/Deficit - ESA2010 Code (B9),2013Q2,State,-1892.0
54,General Government Surplus/Deficit - ESA2010 Code (B9),2013Q3,State,-3026.0
55,General Government Surplus/Deficit - ESA2010 Code (B9),2013Q4,State,-2499.0
56,General Government Surplus/Deficit - ESA2010 Code (B9),2014Q1,State,-2770.0
57,General Government Surplus/Deficit - ESA2010 Code (B9),2014Q2,State,-1415.0
58,General Government Surplus/Deficit - ESA2010 Code (B9),2014Q3,State,-2056.0
59,General Government Surplus/Deficit - ESA2010 Code (B9),2014Q4,State,-808.0
60,General Government Surplus/Deficit - ESA2010 Code (B9),2015Q1,State,-2257.0
61,General Government Surplus/Deficit - ESA2010 Code (B9),2015Q2,State,-535.0
62,General Government Surplus/Deficit - ESA2010 Code (B9),2015Q3,State,-1385.0
63,General Government Surplus/Deficit - ESA2010 Code (B9),2015Q4,State,-1180.0
64,General Government Surplus/Deficit - ESA2010 Code (B9),2016Q1,State,-1765.0
65,General Government Surplus/Deficit - ESA2010 Code (B9),2016Q2,State,198.0
66,General Government Surplus/Deficit - ESA2010 Code (B9),2016Q3,State,-1741.0
67,General Government Surplus/Deficit - ESA2010 Code (B9),2016Q4,State,1236.0
68,General Government Surplus/Deficit - ESA2010 Code (B9),2017Q1,State,-1065.0
