,Statistic,Month,Type.of.Residential.Property,value
0,Residential Property Price Index,2005 January,National - all residential properties,124.9
1,Residential Property Price Index,2005 January,National - houses,120.7
2,Residential Property Price Index,2005 January,National - apartments,153.4
3,Residential Property Price Index,2005 January,Dublin - all residential properties,118.5
4,Residential Property Price Index,2005 January,Dublin - houses,112.0
5,Residential Property Price Index,2005 January,Dublin - apartments,144.0
6,Residential Property Price Index,2005 January,Dublin City - houses,
7,Residential Property Price Index,2005 January,Dun Laoghaire-Rathdown - houses,
8,Residential Property Price Index,2005 January,Fingal - houses,
9,Residential Property Price Index,2005 January,South Dublin - houses,
10,Residential Property Price Index,2005 January,National excluding Dublin - all residential properties,142.1
11,Residential Property Price Index,2005 January,National excluding Dublin - houses,139.0
12,Residential Property Price Index,2005 January,National excluding Dublin - apartments,200.3
13,Residential Property Price Index,2005 January,Border - houses,
14,Residential Property Price Index,2005 January,Midland - houses,
15,Residential Property Price Index,2005 January,West - houses,
16,Residential Property Price Index,2005 January,Mid-East - houses,
17,Residential Property Price Index,2005 January,Mid-West - houses,
18,Residential Property Price Index,2005 January,South-East - houses,
19,Residential Property Price Index,2005 January,South-West - houses,
20,Residential Property Price Index,2005 February,National - all residential properties,125.9
21,Residential Property Price Index,2005 February,National - houses,121.8
22,Residential Property Price Index,2005 February,National - apartments,153.8
23,Residential Property Price Index,2005 February,Dublin - all residential properties,121.0
24,Residential Property Price Index,2005 February,Dublin - houses,113.9
25,Residential Property Price Index,2005 February,Dublin - apartments,148.8
26,Residential Property Price Index,2005 February,Dublin City - houses,
27,Residential Property Price Index,2005 February,Dun Laoghaire-Rathdown - houses,
28,Residential Property Price Index,2005 February,Fingal - houses,
29,Residential Property Price Index,2005 February,South Dublin - houses,
30,Residential Property Price Index,2005 February,National excluding Dublin - all residential properties,142.2
31,Residential Property Price Index,2005 February,National excluding Dublin - houses,139.7
32,Residential Property Price Index,2005 February,National excluding Dublin - apartments,188.6
33,Residential Property Price Index,2005 February,Border - houses,
34,Residential Property Price Index,2005 February,Midland - houses,
35,Residential Property Price Index,2005 February,West - houses,
36,Residential Property Price Index,2005 February,Mid-East - houses,
37,Residential Property Price Index,2005 February,Mid-West - houses,
38,Residential Property Price Index,2005 February,South-East - houses,
39,Residential Property Price Index,2005 February,South-West - houses,
40,Residential Property Price Index,2005 March,National - all residential properties,126.6
41,Residential Property Price Index,2005 March,National - houses,122.7
42,Residential Property Price Index,2005 March,National - apartments,153.7
43,Residential Property Price Index,2005 March,Dublin - all residential properties,121.9
44,Residential Property Price Index,2005 March,Dublin - houses,114.9
45,Residential Property Price Index,2005 March,Dublin - apartments,150.0
46,Residential Property Price Index,2005 March,Dublin City - houses,
47,Residential Property Price Index,2005 March,Dun Laoghaire-Rathdown - houses,
48,Residential Property Price Index,2005 March,Fingal - houses,
49,Residential Property Price Index,2005 March,South Dublin - houses,
50,Residential Property Price Index,2005 March,National excluding Dublin - all residential properties,142.9
51,Residential Property Price Index,2005 March,National excluding Dublin - houses,140.5
52,Residential Property Price Index,2005 March,National excluding Dublin - apartments,184.4
53,Residential Property Price Index,2005 March,Border - houses,
54,Residential Property Price Index,2005 March,Midland - houses,
55,Residential Property Price Index,2005 March,West - houses,
56,Residential Property Price Index,2005 March,Mid-East - houses,
57,Residential Property Price Index,2005 March,Mid-West - houses,
58,Residential Property Price Index,2005 March,South-East - houses,
59,Residential Property Price Index,2005 March,South-West - houses,
60,Residential Property Price Index,2005 April,National - all residential properties,127.5
61,Residential Property Price Index,2005 April,National - houses,123.7
62,Residential Property Price Index,2005 April,National - apartments,153.5
63,Residential Property Price Index,2005 April,Dublin - all residential properties,122.7
64,Residential Property Price Index,2005 April,Dublin - houses,116.2
65,Residential Property Price Index,2005 April,Dublin - apartments,150.1
66,Residential Property Price Index,2005 April,Dublin City - houses,
67,Residential Property Price Index,2005 April,Dun Laoghaire-Rathdown - houses,
68,Residential Property Price Index,2005 April,Fingal - houses,
69,Residential Property Price Index,2005 April,South Dublin - houses,
70,Residential Property Price Index,2005 April,National excluding Dublin - all residential properties,143.8
71,Residential Property Price Index,2005 April,National excluding Dublin - houses,141.5
72,Residential Property Price Index,2005 April,National excluding Dublin - apartments,182.8
73,Residential Property Price Index,2005 April,Border - houses,
74,Residential Property Price Index,2005 April,Midland - houses,
75,Residential Property Price Index,2005 April,West - houses,
76,Residential Property Price Index,2005 April,Mid-East - houses,
77,Residential Property Price Index,2005 April,Mid-West - houses,
78,Residential Property Price Index,2005 April,South-East - houses,
79,Residential Property Price Index,2005 April,South-West - houses,
80,Residential Property Price Index,2005 May,National - all residential properties,128.4
81,Residential Property Price Index,2005 May,National - houses,124.6
82,Residential Property Price Index,2005 May,National - apartments,153.7
83,Residential Property Price Index,2005 May,Dublin - all residential properties,123.7
84,Residential Property Price Index,2005 May,Dublin - houses,117.4
85,Residential Property Price Index,2005 May,Dublin - apartments,150.1
86,Residential Property Price Index,2005 May,Dublin City - houses,
87,Residential Property Price Index,2005 May,Dun Laoghaire-Rathdown - houses,
88,Residential Property Price Index,2005 May,Fingal - houses,
89,Residential Property Price Index,2005 May,South Dublin - houses,
90,Residential Property Price Index,2005 May,National excluding Dublin - all residential properties,144.8
91,Residential Property Price Index,2005 May,National excluding Dublin - houses,142.5
92,Residential Property Price Index,2005 May,National excluding Dublin - apartments,184.0
93,Residential Property Price Index,2005 May,Border - houses,
94,Residential Property Price Index,2005 May,Midland - houses,
95,Residential Property Price Index,2005 May,West - houses,
96,Residential Property Price Index,2005 May,Mid-East - houses,
97,Residential Property Price Index,2005 May,Mid-West - houses,
98,Residential Property Price Index,2005 May,South-East - houses,
99,Residential Property Price Index,2005 May,South-West - houses,
100,Residential Property Price Index,2005 June,National - all residential properties,129.5
101,Residential Property Price Index,2005 June,National - houses,126.0
102,Residential Property Price Index,2005 June,National - apartments,153.2
103,Residential Property Price Index,2005 June,Dublin - all residential properties,123.8
104,Residential Property Price Index,2005 June,Dublin - houses,117.7
105,Residential Property Price Index,2005 June,Dublin - apartments,149.4
106,Residential Property Price Index,2005 June,Dublin City - houses,
107,Residential Property Price Index,2005 June,Dun Laoghaire-Rathdown - houses,
108,Residential Property Price Index,2005 June,Fingal - houses,
109,Residential Property Price Index,2005 June,South Dublin - houses,
110,Residential Property Price Index,2005 June,National excluding Dublin - all residential properties,146.7
111,Residential Property Price Index,2005 June,National excluding Dublin - houses,144.5
112,Residential Property Price Index,2005 June,National excluding Dublin - apartments,183.6
113,Residential Property Price Index,2005 June,Border - houses,
114,Residential Property Price Index,2005 June,Midland - houses,
115,Residential Property Price Index,2005 June,West - houses,
116,Residential Property Price Index,2005 June,Mid-East - houses,
117,Residential Property Price Index,2005 June,Mid-West - houses,
118,Residential Property Price Index,2005 June,South-East - houses,
119,Residential Property Price Index,2005 June,South-West - houses,
120,Residential Property Price Index,2005 July,National - all residential properties,131.6
121,Residential Property Price Index,2005 July,National - houses,128.2
122,Residential Property Price Index,2005 July,National - apartments,153.6
123,Residential Property Price Index,2005 July,Dublin - all residential properties,125.3
124,Residential Property Price Index,2005 July,Dublin - houses,119.7
125,Residential Property Price Index,2005 July,Dublin - apartments,148.8
126,Residential Property Price Index,2005 July,Dublin City - houses,
127,Residential Property Price Index,2005 July,Dun Laoghaire-Rathdown - houses,
128,Residential Property Price Index,2005 July,Fingal - houses,
129,Residential Property Price Index,2005 July,South Dublin - houses,
130,Residential Property Price Index,2005 July,National excluding Dublin - all residential properties,149.3
131,Residential Property Price Index,2005 July,National excluding Dublin - houses,147.1
132,Residential Property Price Index,2005 July,National excluding Dublin - apartments,187.2
133,Residential Property Price Index,2005 July,Border - houses,
134,Residential Property Price Index,2005 July,Midland - houses,
135,Residential Property Price Index,2005 July,West - houses,
136,Residential Property Price Index,2005 July,Mid-East - houses,
137,Residential Property Price Index,2005 July,Mid-West - houses,
138,Residential Property Price Index,2005 July,South-East - houses,
139,Residential Property Price Index,2005 July,South-West - houses,
140,Residential Property Price Index,2005 August,National - all residential properties,133.8
141,Residential Property Price Index,2005 August,National - houses,130.2
142,Residential Property Price Index,2005 August,National - apartments,155.8
143,Residential Property Price Index,2005 August,Dublin - all residential properties,127.7
144,Residential Property Price Index,2005 August,Dublin - houses,122.0
145,Residential Property Price Index,2005 August,Dublin - apartments,150.6
146,Residential Property Price Index,2005 August,Dublin City - houses,
147,Residential Property Price Index,2005 August,Dun Laoghaire-Rathdown - houses,
148,Residential Property Price Index,2005 August,Fingal - houses,
149,Residential Property Price Index,2005 August,South Dublin - houses,
150,Residential Property Price Index,2005 August,National excluding Dublin - all residential properties,151.6
151,Residential Property Price Index,2005 August,National excluding Dublin - houses,149.1
152,Residential Property Price Index,2005 August,National excluding Dublin - apartments,193.7
153,Residential Property Price Index,2005 August,Border - houses,
154,Residential Property Price Index,2005 August,Midland - houses,
155,Residential Property Price Index,2005 August,West - houses,
156,Residential Property Price Index,2005 August,Mid-East - houses,
157,Residential Property Price Index,2005 August,Mid-West - houses,
158,Residential Property Price Index,2005 August,South-East - houses,
159,Residential Property Price Index,2005 August,South-West - houses,
160,Residential Property Price Index,2005 September,National - all residential properties,135.2
161,Residential Property Price Index,2005 September,National - houses,131.3
162,Residential Property Price Index,2005 September,National - apartments,158.3
163,Residential Property Price Index,2005 September,Dublin - all residential properties,130.0
164,Residential Property Price Index,2005 September,Dublin - houses,123.8
165,Residential Property Price Index,2005 September,Dublin - apartments,153.8
166,Residential Property Price Index,2005 September,Dublin City - houses,
167,Residential Property Price Index,2005 September,Dun Laoghaire-Rathdown - houses,
168,Residential Property Price Index,2005 September,Fingal - houses,
169,Residential Property Price Index,2005 September,South Dublin - houses,
170,Residential Property Price Index,2005 September,National excluding Dublin - all residential properties,152.7
171,Residential Property Price Index,2005 September,National excluding Dublin - houses,150.1
172,Residential Property Price Index,2005 September,National excluding Dublin - apartments,197.2
