Statistic,Month,Sex,Age.Group,Last.Held.Occupation,value
Persons on the Live Register,2009 October,Both sexes,Under 25 years,All broad occupational groups,84948
Persons on the Live Register,2009 October,Both sexes,Under 25 years,Managers and administrators,1225
Persons on the Live Register,2009 October,Both sexes,Under 25 years,Professional,3544
Persons on the Live Register,2009 October,Both sexes,Under 25 years,Associate professional and technical,1955
Persons on the Live Register,2009 October,Both sexes,Under 25 years,Clerical and secretarial,6269
Persons on the Live Register,2009 October,Both sexes,Under 25 years,Craft and related,22141
Persons on the Live Register,2009 October,Both sexes,Under 25 years,Personal and protective services,10661
Persons on the Live Register,2009 October,Both sexes,Under 25 years,Sales,13642
Persons on the Live Register,2009 October,Both sexes,Under 25 years,Plant and machine operatives,11052
Persons on the Live Register,2009 October,Both sexes,Under 25 years,Other broad occupational groups,9222
Persons on the Live Register,2009 October,Both sexes,Under 25 years,No occupation,5237
Persons on the Live Register,2009 October,Both sexes,25 years and over,All broad occupational groups,327459
Persons on the Live Register,2009 October,Both sexes,25 years and over,Managers and administrators,16211
Persons on the Live Register,2009 October,Both sexes,25 years and over,Professional,21986
Persons on the Live Register,2009 October,Both sexes,25 years and over,Associate professional and technical,10903
Persons on the Live Register,2009 October,Both sexes,25 years and over,Clerical and secretarial,36234
Persons on the Live Register,2009 October,Both sexes,25 years and over,Craft and related,89636
Persons on the Live Register,2009 October,Both sexes,25 years and over,Personal and protective services,32491
Persons on the Live Register,2009 October,Both sexes,25 years and over,Sales,26259
Persons on the Live Register,2009 October,Both sexes,25 years and over,Plant and machine operatives,54424
Persons on the Live Register,2009 October,Both sexes,25 years and over,Other broad occupational groups,33336
Persons on the Live Register,2009 October,Both sexes,25 years and over,No occupation,5979
Persons on the Live Register,2009 October,Both sexes,All ages,All broad occupational groups,412407
Persons on the Live Register,2009 October,Both sexes,All ages,Managers and administrators,17436
Persons on the Live Register,2009 October,Both sexes,All ages,Professional,25530
Persons on the Live Register,2009 October,Both sexes,All ages,Associate professional and technical,12858
Persons on the Live Register,2009 October,Both sexes,All ages,Clerical and secretarial,42503
Persons on the Live Register,2009 October,Both sexes,All ages,Craft and related,111777
Persons on the Live Register,2009 October,Both sexes,All ages,Personal and protective services,43152
Persons on the Live Register,2009 October,Both sexes,All ages,Sales,39901
Persons on the Live Register,2009 October,Both sexes,All ages,Plant and machine operatives,65476
Persons on the Live Register,2009 October,Both sexes,All ages,Other broad occupational groups,42558
Persons on the Live Register,2009 October,Both sexes,All ages,No occupation,11216
Persons on the Live Register,2009 October,Male,Under 25 years,All broad occupational groups,54106
Persons on the Live Register,2009 October,Male,Under 25 years,Managers and administrators,697
Persons on the Live Register,2009 October,Male,Under 25 years,Professional,1808
Persons on the Live Register,2009 October,Male,Under 25 years,Associate professional and technical,1113
Persons on the Live Register,2009 October,Male,Under 25 years,Clerical and secretarial,2287
Persons on the Live Register,2009 October,Male,Under 25 years,Craft and related,20836
Persons on the Live Register,2009 October,Male,Under 25 years,Personal and protective services,3153
Persons on the Live Register,2009 October,Male,Under 25 years,Sales,5241
Persons on the Live Register,2009 October,Male,Under 25 years,Plant and machine operatives,8330
Persons on the Live Register,2009 October,Male,Under 25 years,Other broad occupational groups,7332
Persons on the Live Register,2009 October,Male,Under 25 years,No occupation,3309
Persons on the Live Register,2009 October,Male,25 years and over,All broad occupational groups,219489
Persons on the Live Register,2009 October,Male,25 years and over,Managers and administrators,9817
Persons on the Live Register,2009 October,Male,25 years and over,Professional,11336
Persons on the Live Register,2009 October,Male,25 years and over,Associate professional and technical,6568
Persons on the Live Register,2009 October,Male,25 years and over,Clerical and secretarial,9140
Persons on the Live Register,2009 October,Male,25 years and over,Craft and related,84445
Persons on the Live Register,2009 October,Male,25 years and over,Personal and protective services,12379
Persons on the Live Register,2009 October,Male,25 years and over,Sales,9829
Persons on the Live Register,2009 October,Male,25 years and over,Plant and machine operatives,43198
Persons on the Live Register,2009 October,Male,25 years and over,Other broad occupational groups,28760
Persons on the Live Register,2009 October,Male,25 years and over,No occupation,4017
Persons on the Live Register,2009 October,Male,All ages,All broad occupational groups,273595
Persons on the Live Register,2009 October,Male,All ages,Managers and administrators,10514
Persons on the Live Register,2009 October,Male,All ages,Professional,13144
Persons on the Live Register,2009 October,Male,All ages,Associate professional and technical,7681
Persons on the Live Register,2009 October,Male,All ages,Clerical and secretarial,11427
Persons on the Live Register,2009 October,Male,All ages,Craft and related,105281
Persons on the Live Register,2009 October,Male,All ages,Personal and protective services,15532
Persons on the Live Register,2009 October,Male,All ages,Sales,15070
Persons on the Live Register,2009 October,Male,All ages,Plant and machine operatives,51528
Persons on the Live Register,2009 October,Male,All ages,Other broad occupational groups,36092
Persons on the Live Register,2009 October,Male,All ages,No occupation,7326
Persons on the Live Register,2009 October,Female,Under 25 years,All broad occupational groups,30842
Persons on the Live Register,2009 October,Female,Under 25 years,Managers and administrators,528
Persons on the Live Register,2009 October,Female,Under 25 years,Professional,1736
Persons on the Live Register,2009 October,Female,Under 25 years,Associate professional and technical,842
Persons on the Live Register,2009 October,Female,Under 25 years,Clerical and secretarial,3982
Persons on the Live Register,2009 October,Female,Under 25 years,Craft and related,1305
Persons on the Live Register,2009 October,Female,Under 25 years,Personal and protective services,7508
Persons on the Live Register,2009 October,Female,Under 25 years,Sales,8401
Persons on the Live Register,2009 October,Female,Under 25 years,Plant and machine operatives,2722
Persons on the Live Register,2009 October,Female,Under 25 years,Other broad occupational groups,1890
Persons on the Live Register,2009 October,Female,Under 25 years,No occupation,1928
