Statistic,Month,Industry.Sector.NACE.Rev.2,value
Industrial Production Index,2015 January,Food products (10),75.6
Industrial Production Index,2015 January,Meat and meat products (101),75.7
Industrial Production Index,2015 January,Dairy products (105),26.9
Industrial Production Index,2015 January,Bakery and farinaceous products (107),99.5
Industrial Production Index,2015 January,Beverages (11),
Industrial Production Index,2015 January,"Wood and wood products, except furniture (16)",56.3
Industrial Production Index,2015 January,Chemicals and chemical products (20),
Industrial Production Index,2015 January,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 January,Rubber and plastic products (22),60.5
Industrial Production Index,2015 January,Other non-metallic mineral products (23),52.7
Industrial Production Index,2015 January,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 January,Electrical equipment (27),63.9
Industrial Production Index,2015 January,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 January,"Electricity, gas, steam and air conditioning supply (35)",130.4
Industrial Production Index,2015 January,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 January,Mining and quarrying (05 to 09),
Industrial Production Index,2015 January,Transportable goods industries (05 to 33),51.3
Industrial Production Index,2015 January,Industries (05 to 35),52.5
Industrial Production Index,2015 January,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",77.6
Industrial Production Index,2015 January,"Food products and beverages (10,11)",
Industrial Production Index,2015 January,Manufacturing industries (10 to 33),51.5
Industrial Production Index,2015 January,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",86.2
Industrial Production Index,2015 January,"Textiles, wearing apparel and leather products (13 to 15)",78.8
Industrial Production Index,2015 January,"Paper and paper products, printing and reproduction of recorded media (17,18)",102.2
Industrial Production Index,2015 January,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 January,"Basic metals and fabricated metal products (24,25)",77.7
Industrial Production Index,2015 January,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 January,"Transport equipment (29,30)",111.9
Industrial Production Index,2015 January,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 January,"Other foods (102 to 104,108)",78.0
Industrial Production Index,2015 January,"Grain mill and starch products; prepared animal feeds (106,109)",76.7
Industrial Production Index,2015 January,"Modern sector (182,20,21,26,27,325)",48.1
Industrial Production Index,2015 January,Capital goods,
Industrial Production Index,2015 January,Intermediate goods,
Industrial Production Index,2015 January,Consumer goods,
Industrial Production Index,2015 January,Durable consumer goods,
Industrial Production Index,2015 January,Non-durable consumer goods,
Industrial Production Index,2015 February,Food products (10),74.0
Industrial Production Index,2015 February,Meat and meat products (101),74.7
Industrial Production Index,2015 February,Dairy products (105),44.7
Industrial Production Index,2015 February,Bakery and farinaceous products (107),92.6
Industrial Production Index,2015 February,Beverages (11),
Industrial Production Index,2015 February,"Wood and wood products, except furniture (16)",54.9
Industrial Production Index,2015 February,Chemicals and chemical products (20),
Industrial Production Index,2015 February,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 February,Rubber and plastic products (22),63.7
Industrial Production Index,2015 February,Other non-metallic mineral products (23),55.6
Industrial Production Index,2015 February,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 February,Electrical equipment (27),61.7
Industrial Production Index,2015 February,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 February,"Electricity, gas, steam and air conditioning supply (35)",110.0
Industrial Production Index,2015 February,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 February,Mining and quarrying (05 to 09),
Industrial Production Index,2015 February,Transportable goods industries (05 to 33),57.4
Industrial Production Index,2015 February,Industries (05 to 35),57.9
Industrial Production Index,2015 February,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",77.5
Industrial Production Index,2015 February,"Food products and beverages (10,11)",
Industrial Production Index,2015 February,Manufacturing industries (10 to 33),57.6
Industrial Production Index,2015 February,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",108.6
Industrial Production Index,2015 February,"Textiles, wearing apparel and leather products (13 to 15)",90.0
Industrial Production Index,2015 February,"Paper and paper products, printing and reproduction of recorded media (17,18)",116.9
Industrial Production Index,2015 February,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 February,"Basic metals and fabricated metal products (24,25)",75.2
Industrial Production Index,2015 February,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 February,"Transport equipment (29,30)",123.2
Industrial Production Index,2015 February,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 February,"Other foods (102 to 104,108)",76.2
Industrial Production Index,2015 February,"Grain mill and starch products; prepared animal feeds (106,109)",75.8
Industrial Production Index,2015 February,"Modern sector (182,20,21,26,27,325)",54.6
Industrial Production Index,2015 February,Capital goods,
Industrial Production Index,2015 February,Intermediate goods,
Industrial Production Index,2015 February,Consumer goods,
Industrial Production Index,2015 February,Durable consumer goods,
Industrial Production Index,2015 February,Non-durable consumer goods,
Industrial Production Index,2015 March,Food products (10),78.7
Industrial Production Index,2015 March,Meat and meat products (101),82.4
Industrial Production Index,2015 March,Dairy products (105),73.8
Industrial Production Index,2015 March,Bakery and farinaceous products (107),101.6
Industrial Production Index,2015 March,Beverages (11),
Industrial Production Index,2015 March,"Wood and wood products, except furniture (16)",54.2
Industrial Production Index,2015 March,Chemicals and chemical products (20),
Industrial Production Index,2015 March,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 March,Rubber and plastic products (22),65.9
Industrial Production Index,2015 March,Other non-metallic mineral products (23),61.7
Industrial Production Index,2015 March,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 March,Electrical equipment (27),64.1
Industrial Production Index,2015 March,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 March,"Electricity, gas, steam and air conditioning supply (35)",127.0
Industrial Production Index,2015 March,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 March,Mining and quarrying (05 to 09),
Industrial Production Index,2015 March,Transportable goods industries (05 to 33),61.4
Industrial Production Index,2015 March,Industries (05 to 35),62.1
Industrial Production Index,2015 March,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",82.8
Industrial Production Index,2015 March,"Food products and beverages (10,11)",
Industrial Production Index,2015 March,Manufacturing industries (10 to 33),61.5
Industrial Production Index,2015 March,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",101.7
Industrial Production Index,2015 March,"Textiles, wearing apparel and leather products (13 to 15)",96.2
Industrial Production Index,2015 March,"Paper and paper products, printing and reproduction of recorded media (17,18)",138.3
Industrial Production Index,2015 March,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 March,"Basic metals and fabricated metal products (24,25)",86.5
Industrial Production Index,2015 March,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 March,"Transport equipment (29,30)",130.8
Industrial Production Index,2015 March,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 March,"Other foods (102 to 104,108)",77.9
Industrial Production Index,2015 March,"Grain mill and starch products; prepared animal feeds (106,109)",80.0
Industrial Production Index,2015 March,"Modern sector (182,20,21,26,27,325)",58.6
Industrial Production Index,2015 March,Capital goods,
Industrial Production Index,2015 March,Intermediate goods,
Industrial Production Index,2015 March,Consumer goods,
Industrial Production Index,2015 March,Durable consumer goods,
Industrial Production Index,2015 March,Non-durable consumer goods,
Industrial Production Index,2015 April,Food products (10),89.3
Industrial Production Index,2015 April,Meat and meat products (101),77.5
Industrial Production Index,2015 April,Dairy products (105),104.2
Industrial Production Index,2015 April,Bakery and farinaceous products (107),100.3
Industrial Production Index,2015 April,Beverages (11),
Industrial Production Index,2015 April,"Wood and wood products, except furniture (16)",63.2
Industrial Production Index,2015 April,Chemicals and chemical products (20),
Industrial Production Index,2015 April,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 April,Rubber and plastic products (22),64.1
Industrial Production Index,2015 April,Other non-metallic mineral products (23),73.8
Industrial Production Index,2015 April,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 April,Electrical equipment (27),63.1
Industrial Production Index,2015 April,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 April,"Electricity, gas, steam and air conditioning supply (35)",115.2
Industrial Production Index,2015 April,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 April,Mining and quarrying (05 to 09),
Industrial Production Index,2015 April,Transportable goods industries (05 to 33),53.9
Industrial Production Index,2015 April,Industries (05 to 35),54.7
Industrial Production Index,2015 April,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",84.8
Industrial Production Index,2015 April,"Food products and beverages (10,11)",
Industrial Production Index,2015 April,Manufacturing industries (10 to 33),54.1
Industrial Production Index,2015 April,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",98.0
Industrial Production Index,2015 April,"Textiles, wearing apparel and leather products (13 to 15)",86.3
Industrial Production Index,2015 April,"Paper and paper products, printing and reproduction of recorded media (17,18)",130.2
Industrial Production Index,2015 April,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 April,"Basic metals and fabricated metal products (24,25)",78.3
Industrial Production Index,2015 April,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 April,"Transport equipment (29,30)",119.2
Industrial Production Index,2015 April,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 April,"Other foods (102 to 104,108)",89.4
Industrial Production Index,2015 April,"Grain mill and starch products; prepared animal feeds (106,109)",81.0
Industrial Production Index,2015 April,"Modern sector (182,20,21,26,27,325)",49.5
Industrial Production Index,2015 April,Capital goods,
Industrial Production Index,2015 April,Intermediate goods,
Industrial Production Index,2015 April,Consumer goods,
Industrial Production Index,2015 April,Durable consumer goods,
Industrial Production Index,2015 April,Non-durable consumer goods,
Industrial Production Index,2015 May,Food products (10),92.6
Industrial Production Index,2015 May,Meat and meat products (101),82.4
Industrial Production Index,2015 May,Dairy products (105),118.1
Industrial Production Index,2015 May,Bakery and farinaceous products (107),99.0
Industrial Production Index,2015 May,Beverages (11),
Industrial Production Index,2015 May,"Wood and wood products, except furniture (16)",57.6
Industrial Production Index,2015 May,Chemicals and chemical products (20),
Industrial Production Index,2015 May,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 May,Rubber and plastic products (22),66.3
Industrial Production Index,2015 May,Other non-metallic mineral products (23),72.2
Industrial Production Index,2015 May,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 May,Electrical equipment (27),68.2
Industrial Production Index,2015 May,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 May,"Electricity, gas, steam and air conditioning supply (35)",126.4
Industrial Production Index,2015 May,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 May,Mining and quarrying (05 to 09),
Industrial Production Index,2015 May,Transportable goods industries (05 to 33),53.2
Industrial Production Index,2015 May,Industries (05 to 35),54.2
Industrial Production Index,2015 May,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",88.4
Industrial Production Index,2015 May,"Food products and beverages (10,11)",
Industrial Production Index,2015 May,Manufacturing industries (10 to 33),53.4
Industrial Production Index,2015 May,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",106.9
Industrial Production Index,2015 May,"Textiles, wearing apparel and leather products (13 to 15)",84.3
Industrial Production Index,2015 May,"Paper and paper products, printing and reproduction of recorded media (17,18)",126.0
Industrial Production Index,2015 May,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 May,"Basic metals and fabricated metal products (24,25)",82.4
Industrial Production Index,2015 May,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 May,"Transport equipment (29,30)",111.6
Industrial Production Index,2015 May,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 May,"Other foods (102 to 104,108)",92.1
Industrial Production Index,2015 May,"Grain mill and starch products; prepared animal feeds (106,109)",73.3
Industrial Production Index,2015 May,"Modern sector (182,20,21,26,27,325)",48.3
Industrial Production Index,2015 May,Capital goods,
Industrial Production Index,2015 May,Intermediate goods,
Industrial Production Index,2015 May,Consumer goods,
Industrial Production Index,2015 May,Durable consumer goods,
Industrial Production Index,2015 May,Non-durable consumer goods,
Industrial Production Index,2015 June,Food products (10),93.0
Industrial Production Index,2015 June,Meat and meat products (101),78.7
