,Statistic,Month,NACE.Rev.2.Sector,value
0,Services Index Value,2015M01,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),92.8
1,Services Index Value,2015M01,Transportation & Storage (H),85.7
2,Services Index Value,2015M01,Accommodation & Food Service Activities (I),81.5
3,Services Index Value,2015M01,Information & Communication (J),82.2
4,Services Index Value,2015M01,"Professional, Scientific & Technical Activities (M)",99.4
5,Services Index Value,2015M01,Administrative & Support Service Activities (N (excl. 7735)),87.8
6,Services Index Value,2015M01,"Other Service Activities (L, 92, 93, 95, 96)",97.1
7,Services Index Value,2015M01,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",88.8
8,Services Index Value,2015M01,Wholesale Trade (46),86.6
9,Services Index Value,2015M01,Accommodation (55),65.1
10,Services Index Value,2015M01,"Food Service Activities (561, 562)",102.0
11,Services Index Value,2015M02,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),93.1
12,Services Index Value,2015M02,Transportation & Storage (H),82.3
13,Services Index Value,2015M02,Accommodation & Food Service Activities (I),82.0
14,Services Index Value,2015M02,Information & Communication (J),78.0
15,Services Index Value,2015M02,"Professional, Scientific & Technical Activities (M)",88.1
16,Services Index Value,2015M02,Administrative & Support Service Activities (N (excl. 7735)),96.3
17,Services Index Value,2015M02,"Other Service Activities (L, 92, 93, 95, 96)",95.9
18,Services Index Value,2015M02,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",86.2
19,Services Index Value,2015M02,Wholesale Trade (46),89.1
20,Services Index Value,2015M02,Accommodation (55),67.8
21,Services Index Value,2015M02,"Food Service Activities (561, 562)",94.9
22,Services Index Value,2015M03,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),99.5
23,Services Index Value,2015M03,Transportation & Storage (H),93.3
24,Services Index Value,2015M03,Accommodation & Food Service Activities (I),92.2
25,Services Index Value,2015M03,Information & Communication (J),104.2
26,Services Index Value,2015M03,"Professional, Scientific & Technical Activities (M)",96.6
27,Services Index Value,2015M03,Administrative & Support Service Activities (N (excl. 7735)),99.1
28,Services Index Value,2015M03,"Other Service Activities (L, 92, 93, 95, 96)",107.4
29,Services Index Value,2015M03,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",99.8
30,Services Index Value,2015M03,Wholesale Trade (46),100.9
31,Services Index Value,2015M03,Accommodation (55),86.9
32,Services Index Value,2015M03,"Food Service Activities (561, 562)",97.6
33,Services Index Value,2015M04,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),99.4
34,Services Index Value,2015M04,Transportation & Storage (H),90.3
35,Services Index Value,2015M04,Accommodation & Food Service Activities (I),92.4
36,Services Index Value,2015M04,Information & Communication (J),92.8
37,Services Index Value,2015M04,"Professional, Scientific & Technical Activities (M)",93.9
38,Services Index Value,2015M04,Administrative & Support Service Activities (N (excl. 7735)),102.4
39,Services Index Value,2015M04,"Other Service Activities (L, 92, 93, 95, 96)",104.7
40,Services Index Value,2015M04,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",95.6
41,Services Index Value,2015M04,Wholesale Trade (46),99.7
42,Services Index Value,2015M04,Accommodation (55),98.1
43,Services Index Value,2015M04,"Food Service Activities (561, 562)",89.5
44,Services Index Value,2015M05,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),97.2
45,Services Index Value,2015M05,Transportation & Storage (H),96.7
46,Services Index Value,2015M05,Accommodation & Food Service Activities (I),104.4
47,Services Index Value,2015M05,Information & Communication (J),83.4
48,Services Index Value,2015M05,"Professional, Scientific & Technical Activities (M)",94.9
49,Services Index Value,2015M05,Administrative & Support Service Activities (N (excl. 7735)),104.2
50,Services Index Value,2015M05,"Other Service Activities (L, 92, 93, 95, 96)",105.5
51,Services Index Value,2015M05,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",93.8
52,Services Index Value,2015M05,Wholesale Trade (46),100.5
53,Services Index Value,2015M05,Accommodation (55),117.9
54,Services Index Value,2015M05,"Food Service Activities (561, 562)",93.8
55,Services Index Value,2015M06,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),99.7
56,Services Index Value,2015M06,Transportation & Storage (H),108.5
57,Services Index Value,2015M06,Accommodation & Food Service Activities (I),102.0
58,Services Index Value,2015M06,Information & Communication (J),103.1
59,Services Index Value,2015M06,"Professional, Scientific & Technical Activities (M)",104.9
60,Services Index Value,2015M06,Administrative & Support Service Activities (N (excl. 7735)),105.7
61,Services Index Value,2015M06,"Other Service Activities (L, 92, 93, 95, 96)",95.4
62,Services Index Value,2015M06,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",102.7
63,Services Index Value,2015M06,Wholesale Trade (46),105.3
64,Services Index Value,2015M06,Accommodation (55),118.1
65,Services Index Value,2015M06,"Food Service Activities (561, 562)",90.1
66,Services Index Value,2015M07,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.6
67,Services Index Value,2015M07,Transportation & Storage (H),121.2
68,Services Index Value,2015M07,Accommodation & Food Service Activities (I),113.0
69,Services Index Value,2015M07,Information & Communication (J),96.7
70,Services Index Value,2015M07,"Professional, Scientific & Technical Activities (M)",101.0
71,Services Index Value,2015M07,Administrative & Support Service Activities (N (excl. 7735)),102.6
72,Services Index Value,2015M07,"Other Service Activities (L, 92, 93, 95, 96)",111.2
73,Services Index Value,2015M07,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",103.0
74,Services Index Value,2015M07,Wholesale Trade (46),98.1
75,Services Index Value,2015M07,Accommodation (55),130.4
76,Services Index Value,2015M07,"Food Service Activities (561, 562)",99.0
77,Services Index Value,2015M08,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),95.0
78,Services Index Value,2015M08,Transportation & Storage (H),125.1
79,Services Index Value,2015M08,Accommodation & Food Service Activities (I),116.2
80,Services Index Value,2015M08,Information & Communication (J),91.3
81,Services Index Value,2015M08,"Professional, Scientific & Technical Activities (M)",89.5
82,Services Index Value,2015M08,Administrative & Support Service Activities (N (excl. 7735)),98.5
83,Services Index Value,2015M08,"Other Service Activities (L, 92, 93, 95, 96)",106.1
84,Services Index Value,2015M08,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",98.4
85,Services Index Value,2015M08,Wholesale Trade (46),93.5
86,Services Index Value,2015M08,Accommodation (55),130.8
87,Services Index Value,2015M08,"Food Service Activities (561, 562)",102.9
88,Services Index Value,2015M09,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),99.4
89,Services Index Value,2015M09,Transportation & Storage (H),109.4
90,Services Index Value,2015M09,Accommodation & Food Service Activities (I),105.6
91,Services Index Value,2015M09,Information & Communication (J),117.0
92,Services Index Value,2015M09,"Professional, Scientific & Technical Activities (M)",98.6
93,Services Index Value,2015M09,Administrative & Support Service Activities (N (excl. 7735)),102.8
94,Services Index Value,2015M09,"Other Service Activities (L, 92, 93, 95, 96)",98.6
95,Services Index Value,2015M09,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",106.4
96,Services Index Value,2015M09,Wholesale Trade (46),103.3
97,Services Index Value,2015M09,Accommodation (55),111.5
98,Services Index Value,2015M09,"Food Service Activities (561, 562)",99.3
99,Services Index Value,2015M10,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.1
100,Services Index Value,2015M10,Transportation & Storage (H),106.4
101,Services Index Value,2015M10,Accommodation & Food Service Activities (I),106.2
102,Services Index Value,2015M10,Information & Communication (J),107.6
103,Services Index Value,2015M10,"Professional, Scientific & Technical Activities (M)",103.8
104,Services Index Value,2015M10,Administrative & Support Service Activities (N (excl. 7735)),102.7
105,Services Index Value,2015M10,"Other Service Activities (L, 92, 93, 95, 96)",98.6
106,Services Index Value,2015M10,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",104.1
107,Services Index Value,2015M10,Wholesale Trade (46),106.5
108,Services Index Value,2015M10,Accommodation (55),103.5
109,Services Index Value,2015M10,"Food Service Activities (561, 562)",108.2
110,Services Index Value,2015M11,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),106.9
111,Services Index Value,2015M11,Transportation & Storage (H),88.4
112,Services Index Value,2015M11,Accommodation & Food Service Activities (I),95.4
113,Services Index Value,2015M11,Information & Communication (J),115.1
114,Services Index Value,2015M11,"Professional, Scientific & Technical Activities (M)",108.3
115,Services Index Value,2015M11,Administrative & Support Service Activities (N (excl. 7735)),96.3
116,Services Index Value,2015M11,"Other Service Activities (L, 92, 93, 95, 96)",84.5
117,Services Index Value,2015M11,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",105.2
118,Services Index Value,2015M11,Wholesale Trade (46),111.6
119,Services Index Value,2015M11,Accommodation (55),80.7
120,Services Index Value,2015M11,"Food Service Activities (561, 562)",105.2
121,Services Index Value,2015M12,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),116.3
122,Services Index Value,2015M12,Transportation & Storage (H),92.6
123,Services Index Value,2015M12,Accommodation & Food Service Activities (I),109.2
