Statistic,Month,Age.Group,Sex,value
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 24 years,Both sexes,55.5
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 24 years,Male,31.5
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 24 years,Female,23.9
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 74 years,Both sexes,151.8
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 74 years,Male,87.0
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 74 years,Female,64.8
Seasonally Adjusted Monthly Unemployment,1998 January,25 - 74 years,Both sexes,96.3
Seasonally Adjusted Monthly Unemployment,1998 January,25 - 74 years,Male,55.5
Seasonally Adjusted Monthly Unemployment,1998 January,25 - 74 years,Female,40.9
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 24 years,Both sexes,54.2
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 24 years,Male,30.9
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 24 years,Female,23.2
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 74 years,Both sexes,153.3
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 74 years,Male,88.1
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 74 years,Female,65.2
Seasonally Adjusted Monthly Unemployment,1998 February,25 - 74 years,Both sexes,99.1
Seasonally Adjusted Monthly Unemployment,1998 February,25 - 74 years,Male,57.2
Seasonally Adjusted Monthly Unemployment,1998 February,25 - 74 years,Female,41.9
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 24 years,Both sexes,52.0
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 24 years,Male,29.6
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 24 years,Female,22.4
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 74 years,Both sexes,149.7
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 74 years,Male,86.0
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 74 years,Female,63.7
Seasonally Adjusted Monthly Unemployment,1998 March,25 - 74 years,Both sexes,97.7
Seasonally Adjusted Monthly Unemployment,1998 March,25 - 74 years,Male,56.4
Seasonally Adjusted Monthly Unemployment,1998 March,25 - 74 years,Female,41.3
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 24 years,Both sexes,48.0
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 24 years,Male,27.0
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 24 years,Female,20.9
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 74 years,Both sexes,140.3
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 74 years,Male,81.1
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 74 years,Female,59.2
Seasonally Adjusted Monthly Unemployment,1998 April,25 - 74 years,Both sexes,92.3
Seasonally Adjusted Monthly Unemployment,1998 April,25 - 74 years,Male,54.0
Seasonally Adjusted Monthly Unemployment,1998 April,25 - 74 years,Female,38.3
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 24 years,Both sexes,45.3
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 24 years,Male,25.6
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 24 years,Female,19.7
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 74 years,Both sexes,134.1
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 74 years,Male,78.1
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 74 years,Female,56.0
Seasonally Adjusted Monthly Unemployment,1998 May,25 - 74 years,Both sexes,88.8
Seasonally Adjusted Monthly Unemployment,1998 May,25 - 74 years,Male,52.6
Seasonally Adjusted Monthly Unemployment,1998 May,25 - 74 years,Female,36.3
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 24 years,Both sexes,43.6
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 24 years,Male,25.0
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 24 years,Female,18.6
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 74 years,Both sexes,129.4
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 74 years,Male,76.0
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 74 years,Female,53.4
Seasonally Adjusted Monthly Unemployment,1998 June,25 - 74 years,Both sexes,85.8
Seasonally Adjusted Monthly Unemployment,1998 June,25 - 74 years,Male,51.0
Seasonally Adjusted Monthly Unemployment,1998 June,25 - 74 years,Female,34.8
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 24 years,Both sexes,42.1
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 24 years,Male,24.5
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 24 years,Female,17.6
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 74 years,Both sexes,127.4
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 74 years,Male,75.1
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 74 years,Female,52.3
Seasonally Adjusted Monthly Unemployment,1998 July,25 - 74 years,Both sexes,85.3
