Statistic,Year,Item,value
Modified Gross National Income at Constant Market Prices,1995,Gross national income at constant market prices - ESA code (B.5*g),108935
Modified Gross National Income at Constant Market Prices,1995,Total adjustments,-26
Modified Gross National Income at Constant Market Prices,1995,Modified gross national income (GNI*) at constant market prices,115979
Modified Gross National Income at Constant Market Prices,1996,Gross national income at constant market prices - ESA code (B.5*g),117326
Modified Gross National Income at Constant Market Prices,1996,Total adjustments,-79
Modified Gross National Income at Constant Market Prices,1996,Modified gross national income (GNI*) at constant market prices,124843
Modified Gross National Income at Constant Market Prices,1997,Gross national income at constant market prices - ESA code (B.5*g),127799
Modified Gross National Income at Constant Market Prices,1997,Total adjustments,-135
Modified Gross National Income at Constant Market Prices,1997,Modified gross national income (GNI*) at constant market prices,135920
Modified Gross National Income at Constant Market Prices,1998,Gross national income at constant market prices - ESA code (B.5*g),137171
Modified Gross National Income at Constant Market Prices,1998,Total adjustments,-209
Modified Gross National Income at Constant Market Prices,1998,Modified gross national income (GNI*) at constant market prices,145801
Modified Gross National Income at Constant Market Prices,1999,Gross national income at constant market prices - ESA code (B.5*g),147827
Modified Gross National Income at Constant Market Prices,1999,Total adjustments,-313
Modified Gross National Income at Constant Market Prices,1999,Modified gross national income (GNI*) at constant market prices,157013
Modified Gross National Income at Constant Market Prices,2000,Gross national income at constant market prices - ESA code (B.5*g),161048
Modified Gross National Income at Constant Market Prices,2000,Total adjustments,-484
Modified Gross National Income at Constant Market Prices,2000,Modified gross national income (GNI*) at constant market prices,170865
Modified Gross National Income at Constant Market Prices,2001,Gross national income at constant market prices - ESA code (B.5*g),163750
Modified Gross National Income at Constant Market Prices,2001,Total adjustments,-863
Modified Gross National Income at Constant Market Prices,2001,Modified gross national income (GNI*) at constant market prices,173233
Modified Gross National Income at Constant Market Prices,2002,Gross national income at constant market prices - ESA code (B.5*g),168089
Modified Gross National Income at Constant Market Prices,2002,Total adjustments,-1576
Modified Gross National Income at Constant Market Prices,2002,Modified gross national income (GNI*) at constant market prices,176934
Modified Gross National Income at Constant Market Prices,2003,Gross national income at constant market prices - ESA code (B.5*g),175749
Modified Gross National Income at Constant Market Prices,2003,Total adjustments,-2281
Modified Gross National Income at Constant Market Prices,2003,Modified gross national income (GNI*) at constant market prices,184243
Modified Gross National Income at Constant Market Prices,2004,Gross national income at constant market prices - ESA code (B.5*g),187837
Modified Gross National Income at Constant Market Prices,2004,Total adjustments,-2883
Modified Gross National Income at Constant Market Prices,2004,Modified gross national income (GNI*) at constant market prices,196401
Modified Gross National Income at Constant Market Prices,2005,Gross national income at constant market prices - ESA code (B.5*g),198407
Modified Gross National Income at Constant Market Prices,2005,Total adjustments,-4051
Modified Gross National Income at Constant Market Prices,2005,Modified gross national income (GNI*) at constant market prices,206256
Modified Gross National Income at Constant Market Prices,2006,Gross national income at constant market prices - ESA code (B.5*g),208767
Modified Gross National Income at Constant Market Prices,2006,Total adjustments,-5166
Modified Gross National Income at Constant Market Prices,2006,Modified gross national income (GNI*) at constant market prices,215954
Modified Gross National Income at Constant Market Prices,2007,Gross national income at constant market prices - ESA code (B.5*g),216250
Modified Gross National Income at Constant Market Prices,2007,Total adjustments,-5660
Modified Gross National Income at Constant Market Prices,2007,Modified gross national income (GNI*) at constant market prices,223340
Modified Gross National Income at Constant Market Prices,2008,Gross national income at constant market prices - ESA code (B.5*g),207846
Modified Gross National Income at Constant Market Prices,2008,Total adjustments,-6206
Modified Gross National Income at Constant Market Prices,2008,Modified gross national income (GNI*) at constant market prices,213756
Modified Gross National Income at Constant Market Prices,2009,Gross national income at constant market prices - ESA code (B.5*g),190609
Modified Gross National Income at Constant Market Prices,2009,Total adjustments,-8085
Modified Gross National Income at Constant Market Prices,2009,Modified gross national income (GNI*) at constant market prices,193026
Modified Gross National Income at Constant Market Prices,2010,Gross national income at constant market prices - ESA code (B.5*g),197153
Modified Gross National Income at Constant Market Prices,2010,Total adjustments,-13100
Modified Gross National Income at Constant Market Prices,2010,Modified gross national income (GNI*) at constant market prices,193455
Modified Gross National Income at Constant Market Prices,2011,Gross national income at constant market prices - ESA code (B.5*g),193272
Modified Gross National Income at Constant Market Prices,2011,Total adjustments,-13924
Modified Gross National Income at Constant Market Prices,2011,Modified gross national income (GNI*) at constant market prices,188212
Modified Gross National Income at Constant Market Prices,2012,Gross national income at constant market prices - ESA code (B.5*g),191681
Modified Gross National Income at Constant Market Prices,2012,Total adjustments,-16326
Modified Gross National Income at Constant Market Prices,2012,Modified gross national income (GNI*) at constant market prices,183453
Modified Gross National Income at Constant Market Prices,2013,Gross national income at constant market prices - ESA code (B.5*g),202825
Modified Gross National Income at Constant Market Prices,2013,Total adjustments,-17535
Modified Gross National Income at Constant Market Prices,2013,Modified gross national income (GNI*) at constant market prices,193781
Modified Gross National Income at Constant Market Prices,2014,Gross national income at constant market prices - ESA code (B.5*g),222372
Modified Gross National Income at Constant Market Prices,2014,Total adjustments,-20448
Modified Gross National Income at Constant Market Prices,2014,Modified gross national income (GNI*) at constant market prices,210881
Modified Gross National Income at Constant Market Prices,2015,Gross national income at constant market prices - ESA code (B.5*g),253701
Modified Gross National Income at Constant Market Prices,2015,Total adjustments,-43580
Modified Gross National Income at Constant Market Prices,2015,Modified gross national income (GNI*) at constant market prices,214762
Modified Gross National Income at Constant Market Prices,2016,Gross national income at constant market prices - ESA code (B.5*g),267797
Modified Gross National Income at Constant Market Prices,2016,Total adjustments,-51141
Modified Gross National Income at Constant Market Prices,2016,Modified gross national income (GNI*) at constant market prices,220128
Modified Gross National Income at Constant Market Prices,2017,Gross national income at constant market prices - ESA code (B.5*g),283089
Modified Gross National Income at Constant Market Prices,2017,Total adjustments,-56258
Modified Gross National Income at Constant Market Prices,2017,Modified gross national income (GNI*) at constant market prices,229887
Modified Gross National Income at Constant Market Prices,2018,Gross national income at constant market prices - ESA code (B.5*g),295055
Modified Gross National Income at Constant Market Prices,2018,Total adjustments,-61876
Modified Gross National Income at Constant Market Prices,2018,Modified gross national income (GNI*) at constant market prices,235503
Modified Gross National Income at Constant Market Prices,2019,Gross national income at constant market prices - ESA code (B.5*g),306881
Modified Gross National Income at Constant Market Prices,2019,Total adjustments,-67803
Modified Gross National Income at Constant Market Prices,2019,Modified gross national income (GNI*) at constant market prices,240674
Modified Gross National Income at Constant Market Prices,2020,Gross national income at constant market prices - ESA code (B.5*g),318865
Modified Gross National Income at Constant Market Prices,2020,Total adjustments,-83643
Modified Gross National Income at Constant Market Prices,2020,Modified gross national income (GNI*) at constant market prices,234772
Modified Gross National Income at Constant Market Prices,2021,Gross national income at constant market prices - ESA code (B.5*g),362133
