,Statistic,Quarter,Sector,value
0,Expenditure on GNP at Current Market Prices,1995Q1,Personal Expenditure on Consumer Goods and Services,6788.0
1,Expenditure on GNP at Current Market Prices,1995Q1,Household & NPISH Final Consumption Expenditure,6809.0
2,Expenditure on GNP at Current Market Prices,1995Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,2217.0
3,Expenditure on GNP at Current Market Prices,1995Q1,General Government Expenditure on Goods & Services provided to Households,1352.0
4,Expenditure on GNP at Current Market Prices,1995Q1,General Government Collective Consumption Expenditure,843.0
5,Expenditure on GNP at Current Market Prices,1995Q1,General Government Final Consumption Expenditure,2196.0
6,Expenditure on GNP at Current Market Prices,1995Q1,Gross Domestic Fixed Capital Formation,2515.0
7,Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Dwellings,451.0
8,Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Improvements,151.0
9,Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Other Building and Construction,532.0
10,Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Transfer Costs,82.0
11,Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Machinery and Equipment,1074.0
12,Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,59.0
13,Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Intangible Assets,225.0
14,Expenditure on GNP at Current Market Prices,1995Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
15,Expenditure on GNP at Current Market Prices,1995Q1,Value of Physical Changes in Stocks,356.0
16,Expenditure on GNP at Current Market Prices,1995Q1,Exports of Goods and Services (excluding Factor Income Flows),9175.0
17,Expenditure on GNP at Current Market Prices,1995Q1,Imports of Goods and Services (excluding Factor Income Flows),-8104.0
18,Expenditure on GNP at Current Market Prices,1995Q1,Gross Domestic Product at Market Prices,13152.0
19,Expenditure on GNP at Current Market Prices,1995Q1,Net Factor Income from the Rest of the World,-1620.0
20,Expenditure on GNP at Current Market Prices,1995Q1,Gross National Product at Market Prices,11532.0
21,Expenditure on GNP at Current Market Prices,1995Q1,Statistical Discrepancy,206.0
22,Expenditure on GNP at Current Market Prices,1995Q1,Export of Goods (excluding Factor Income Flows),8023.0
23,Expenditure on GNP at Current Market Prices,1995Q1,Import of Goods (excluding Factor Income Flows),-6093.0
24,Expenditure on GNP at Current Market Prices,1995Q1,Export of Services (excluding Factor Income Flows),1152.0
25,Expenditure on GNP at Current Market Prices,1995Q1,Import of Services (excluding Factor Income Flows),-2011.0
26,Expenditure on GNP at Current Market Prices,1995Q1,Final Domestic Demand,11520.0
27,Expenditure on GNP at Current Market Prices,1995Q1,Total Domestic Demand,11875.0
28,Expenditure on GNP at Current Market Prices,1995Q2,Personal Expenditure on Consumer Goods and Services,7068.0
29,Expenditure on GNP at Current Market Prices,1995Q2,Household & NPISH Final Consumption Expenditure,6933.0
30,Expenditure on GNP at Current Market Prices,1995Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,2228.0
31,Expenditure on GNP at Current Market Prices,1995Q2,General Government Expenditure on Goods & Services provided to Households,1456.0
32,Expenditure on GNP at Current Market Prices,1995Q2,General Government Collective Consumption Expenditure,908.0
33,Expenditure on GNP at Current Market Prices,1995Q2,General Government Final Consumption Expenditure,2363.0
