,Statistic,Quarter,Eircode.Output,value
0,New Dwelling Completion,2012Q1,All,1131
1,New Dwelling Completion,2012Q1,A41: Ballyboughal,0
2,New Dwelling Completion,2012Q1,A42: Garristown,2
3,New Dwelling Completion,2012Q1,A45: Oldtown,0
4,New Dwelling Completion,2012Q1,A63: Greystones,7
5,New Dwelling Completion,2012Q1,A67: Wicklow,8
6,New Dwelling Completion,2012Q1,A75: Castleblaney,8
7,New Dwelling Completion,2012Q1,A81: Carrickmacross,27
8,New Dwelling Completion,2012Q1,A82: Kells,15
9,New Dwelling Completion,2012Q1,A83: Enfield,2
10,New Dwelling Completion,2012Q1,A84: Ashbourne,3
11,New Dwelling Completion,2012Q1,A85: Dunshaughlin,2
12,New Dwelling Completion,2012Q1,A86: Dunboyne,0
13,New Dwelling Completion,2012Q1,A91: Dundalk,10
14,New Dwelling Completion,2012Q1,A92: Drogheda,15
15,New Dwelling Completion,2012Q1,A94: Blackrock,0
16,New Dwelling Completion,2012Q1,A96: Glenageary,4
17,New Dwelling Completion,2012Q1,A98: Bray,3
18,New Dwelling Completion,2012Q1,C15: Navan,19
19,New Dwelling Completion,2012Q1,D01: Dublin 1,37
20,New Dwelling Completion,2012Q1,D02: Dublin 2,2
21,New Dwelling Completion,2012Q1,D03: Dublin 3,1
22,New Dwelling Completion,2012Q1,D04: Dublin 4,4
23,New Dwelling Completion,2012Q1,D05: Dublin 5,2
24,New Dwelling Completion,2012Q1,D06: Dublin 6,2
25,New Dwelling Completion,2012Q1,D07: Dublin 7,3
26,New Dwelling Completion,2012Q1,D08: Dublin 8,3
27,New Dwelling Completion,2012Q1,D09: Dublin 9,0
28,New Dwelling Completion,2012Q1,D10: Dublin 10,0
29,New Dwelling Completion,2012Q1,D11: Dublin 11,2
30,New Dwelling Completion,2012Q1,D12: Dublin 12,1
31,New Dwelling Completion,2012Q1,D13: Dublin 13,3
32,New Dwelling Completion,2012Q1,D14: Dublin 14,0
33,New Dwelling Completion,2012Q1,D15: Dublin 15,1
34,New Dwelling Completion,2012Q1,D16: Dublin 16,3
35,New Dwelling Completion,2012Q1,D17: Dublin 17,0
36,New Dwelling Completion,2012Q1,D18: Dublin 18,7
