Statistic,Quarter,Sectors,value
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Personal Expenditure on Consumer Goods and Services,10493.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,4450.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Gross Domestic Fixed Capital Formation,4836.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Exports of Goods and Services (excluding Factor Income Flows),10747.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Imports of Goods and Services (excluding Factor Income Flows),-9625.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Gross Domestic Product at Market Prices,24146.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Gross National Product at Market Prices,22262.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Modified Final Domestic Demand,19425.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Personal Expenditure on Consumer Goods and Services,10789.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,4298.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Gross Domestic Fixed Capital Formation,4699.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Exports of Goods and Services (excluding Factor Income Flows),11102.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Imports of Goods and Services (excluding Factor Income Flows),-9978.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Gross Domestic Product at Market Prices,24313.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Gross National Product at Market Prices,22694.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Modified Final Domestic Demand,19501.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Personal Expenditure on Consumer Goods and Services,11057.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,4296.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Gross Domestic Fixed Capital Formation,4905.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Exports of Goods and Services (excluding Factor Income Flows),11583.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Imports of Goods and Services (excluding Factor Income Flows),-10521.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Gross Domestic Product at Market Prices,24576.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Gross National Product at Market Prices,22959.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Modified Final Domestic Demand,20192.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Personal Expenditure on Consumer Goods and Services,11236.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,4088.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Gross Domestic Fixed Capital Formation,4507.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Exports of Goods and Services (excluding Factor Income Flows),11957.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Imports of Goods and Services (excluding Factor Income Flows),-10925.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Gross Domestic Product at Market Prices,24619.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Gross National Product at Market Prices,22623.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Modified Final Domestic Demand,20238.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Personal Expenditure on Consumer Goods and Services,11389.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,4576.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Gross Domestic Fixed Capital Formation,5551.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Exports of Goods and Services (excluding Factor Income Flows),12139.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Imports of Goods and Services (excluding Factor Income Flows),-10969.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Gross Domestic Product at Market Prices,26048.0
