,Statistic,Quarter,Sex,NACE.Rev.2.Economic.Sector,value
0,Persons aged 15-89 years in Employment,1998Q1,Both sexes,All NACE economic sectors,1550.3
1,Persons aged 15-89 years in Employment,1998Q1,Both sexes,"Agriculture, forestry and fishing (A)",135.6
2,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Construction (F),103.7
3,Persons aged 15-89 years in Employment,1998Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",219.5
4,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Transportation and storage (H),65.6
5,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Accommodation and food service activities (I),99.6
6,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Information and communication (J),60.9
7,Persons aged 15-89 years in Employment,1998Q1,Both sexes,"Professional, scientific and technical activities (M)",71.4
8,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Administrative and support service activities (N),49.0
9,Persons aged 15-89 years in Employment,1998Q1,Both sexes,"Public administration and defence, compulsory social security (O)",67.7
10,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Education (P),93.9
11,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Human health and social work activities (Q),121.7
12,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Industry (B to E),313.2
13,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Industry and Construction (B to F),416.9
14,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Services (G to U),989.8
15,Persons aged 15-89 years in Employment,1998Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",62.6
16,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Other NACE activities (R to U),78.1
17,Persons aged 15-89 years in Employment,1998Q1,Both sexes,Not stated,7.9
18,Persons aged 15-89 years in Employment,1998Q1,Male,All NACE economic sectors,934.9
19,Persons aged 15-89 years in Employment,1998Q1,Male,"Agriculture, forestry and fishing (A)",117.5
20,Persons aged 15-89 years in Employment,1998Q1,Male,Construction (F),100.7
21,Persons aged 15-89 years in Employment,1998Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",118.3
22,Persons aged 15-89 years in Employment,1998Q1,Male,Transportation and storage (H),52.9
23,Persons aged 15-89 years in Employment,1998Q1,Male,Accommodation and food service activities (I),45.7
24,Persons aged 15-89 years in Employment,1998Q1,Male,Information and communication (J),38.5
25,Persons aged 15-89 years in Employment,1998Q1,Male,"Professional, scientific and technical activities (M)",44.2
26,Persons aged 15-89 years in Employment,1998Q1,Male,Administrative and support service activities (N),24.3
27,Persons aged 15-89 years in Employment,1998Q1,Male,"Public administration and defence, compulsory social security (O)",43.6
28,Persons aged 15-89 years in Employment,1998Q1,Male,Education (P),32.7
29,Persons aged 15-89 years in Employment,1998Q1,Male,Human health and social work activities (Q),28.7
30,Persons aged 15-89 years in Employment,1998Q1,Male,Industry (B to E),219.3
31,Persons aged 15-89 years in Employment,1998Q1,Male,Industry and Construction (B to F),320.0
32,Persons aged 15-89 years in Employment,1998Q1,Male,Services (G to U),492.6
33,Persons aged 15-89 years in Employment,1998Q1,Male,"Financial, insurance and real estate activities (K,L)",27.9
34,Persons aged 15-89 years in Employment,1998Q1,Male,Other NACE activities (R to U),35.8
35,Persons aged 15-89 years in Employment,1998Q1,Male,Not stated,4.7
36,Persons aged 15-89 years in Employment,1998Q1,Female,All NACE economic sectors,615.4
37,Persons aged 15-89 years in Employment,1998Q1,Female,"Agriculture, forestry and fishing (A)",18.1
38,Persons aged 15-89 years in Employment,1998Q1,Female,Construction (F),3.0
