Statistic,Month,NACE.Group,value
Retail Sales Index Value Unadjusted,2015 January,Motor trades (45),176.4
Retail Sales Index Value Unadjusted,2015 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",89.9
Retail Sales Index Value Unadjusted,2015 January,Department stores (4719),80.0
Retail Sales Index Value Unadjusted,2015 January,Retail sale of automotive fuel (4730),85.7
Retail Sales Index Value Unadjusted,2015 January,"Retail sale of hardware, paints and glass (4752)",79.6
Retail Sales Index Value Unadjusted,2015 January,Retail sale of furniture and lighting (4759),105.0
Retail Sales Index Value Unadjusted,2015 January,Bars (5630),70.9
Retail Sales Index Value Unadjusted,2015 January,All retail businesses,109.6
Retail Sales Index Value Unadjusted,2015 January,"Motor trades and automotive fuel (45,4730)",163.2
Retail Sales Index Value Unadjusted,2015 January,"All retail businesses, excluding motor trades and bars",85.3
Retail Sales Index Value Unadjusted,2015 January,"All retail businesses, excluding motor trades",84.5
Retail Sales Index Value Unadjusted,2015 January,"All retail businesses, excluding motor trades, automotive fuel and bars",85.3
Retail Sales Index Value Unadjusted,2015 January,"Retail sale of food (4711,4721 to 4729)",89.2
Retail Sales Index Value Unadjusted,2015 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",81.7
Retail Sales Index Value Unadjusted,2015 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",82.5
Retail Sales Index Value Unadjusted,2015 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",94.2
Retail Sales Index Value Unadjusted,2015 January,"Retail sale of electrical goods (4741 to 4743,4754)",89.7
Retail Sales Index Value Unadjusted,2015 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",72.6
Retail Sales Index Value Unadjusted,2015 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",73.7
Retail Sales Index Value Unadjusted,2015 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",73.9
Retail Sales Index Value Unadjusted,2015 January,"Retail sale of books, newspapers and stationery (4761,4762)",73.1
Retail Sales Index Value Unadjusted,2015 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",84.4
Retail Sales Index Value Unadjusted,2015 February,Motor trades (45),145.5
Retail Sales Index Value Unadjusted,2015 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",91.6
Retail Sales Index Value Unadjusted,2015 February,Department stores (4719),73.6
Retail Sales Index Value Unadjusted,2015 February,Retail sale of automotive fuel (4730),96.9
Retail Sales Index Value Unadjusted,2015 February,"Retail sale of hardware, paints and glass (4752)",85.0
Retail Sales Index Value Unadjusted,2015 February,Retail sale of furniture and lighting (4759),121.3
Retail Sales Index Value Unadjusted,2015 February,Bars (5630),81.3
Retail Sales Index Value Unadjusted,2015 February,All retail businesses,103.8
Retail Sales Index Value Unadjusted,2015 February,"Motor trades and automotive fuel (45,4730)",138.4
Retail Sales Index Value Unadjusted,2015 February,"All retail businesses, excluding motor trades and bars",88.4
Retail Sales Index Value Unadjusted,2015 February,"All retail businesses, excluding motor trades",88.0
Retail Sales Index Value Unadjusted,2015 February,"All retail businesses, excluding motor trades, automotive fuel and bars",87.8
Retail Sales Index Value Unadjusted,2015 February,"Retail sale of food (4711,4721 to 4729)",91.2
Retail Sales Index Value Unadjusted,2015 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",84.8
Retail Sales Index Value Unadjusted,2015 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",87.6
Retail Sales Index Value Unadjusted,2015 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",99.0
Retail Sales Index Value Unadjusted,2015 February,"Retail sale of electrical goods (4741 to 4743,4754)",77.0
Retail Sales Index Value Unadjusted,2015 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",72.2
Retail Sales Index Value Unadjusted,2015 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",77.2
Retail Sales Index Value Unadjusted,2015 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",76.2
Retail Sales Index Value Unadjusted,2015 February,"Retail sale of books, newspapers and stationery (4761,4762)",82.1
Retail Sales Index Value Unadjusted,2015 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",89.8
Retail Sales Index Value Unadjusted,2015 March,Motor trades (45),142.8
Retail Sales Index Value Unadjusted,2015 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",96.1
Retail Sales Index Value Unadjusted,2015 March,Department stores (4719),75.5
Retail Sales Index Value Unadjusted,2015 March,Retail sale of automotive fuel (4730),100.1
Retail Sales Index Value Unadjusted,2015 March,"Retail sale of hardware, paints and glass (4752)",90.4
Retail Sales Index Value Unadjusted,2015 March,Retail sale of furniture and lighting (4759),85.5
Retail Sales Index Value Unadjusted,2015 March,Bars (5630),90.8
Retail Sales Index Value Unadjusted,2015 March,All retail businesses,104.1
Retail Sales Index Value Unadjusted,2015 March,"Motor trades and automotive fuel (45,4730)",136.6
Retail Sales Index Value Unadjusted,2015 March,"All retail businesses, excluding motor trades and bars",89.4
Retail Sales Index Value Unadjusted,2015 March,"All retail businesses, excluding motor trades",89.5
Retail Sales Index Value Unadjusted,2015 March,"All retail businesses, excluding motor trades, automotive fuel and bars",88.7
Retail Sales Index Value Unadjusted,2015 March,"Retail sale of food (4711,4721 to 4729)",95.8
Retail Sales Index Value Unadjusted,2015 March,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",82.2
Retail Sales Index Value Unadjusted,2015 March,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",93.2
Retail Sales Index Value Unadjusted,2015 March,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",85.1
Retail Sales Index Value Unadjusted,2015 March,"Retail sale of electrical goods (4741 to 4743,4754)",80.3
Retail Sales Index Value Unadjusted,2015 March,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",80.5
Retail Sales Index Value Unadjusted,2015 March,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",75.6
Retail Sales Index Value Unadjusted,2015 March,"Other retail sales (4753,4763 to 4765,4776 to 4778)",75.7
Retail Sales Index Value Unadjusted,2015 March,"Retail sale of books, newspapers and stationery (4761,4762)",74.9
Retail Sales Index Value Unadjusted,2015 March,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",89.0
Retail Sales Index Value Unadjusted,2015 April,Motor trades (45),122.3
Retail Sales Index Value Unadjusted,2015 April,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",101.4
Retail Sales Index Value Unadjusted,2015 April,Department stores (4719),88.9
Retail Sales Index Value Unadjusted,2015 April,Retail sale of automotive fuel (4730),103.9
Retail Sales Index Value Unadjusted,2015 April,"Retail sale of hardware, paints and glass (4752)",116.1
Retail Sales Index Value Unadjusted,2015 April,Retail sale of furniture and lighting (4759),80.9
Retail Sales Index Value Unadjusted,2015 April,Bars (5630),88.4
Retail Sales Index Value Unadjusted,2015 April,All retail businesses,101.7
Retail Sales Index Value Unadjusted,2015 April,"Motor trades and automotive fuel (45,4730)",119.6
Retail Sales Index Value Unadjusted,2015 April,"All retail businesses, excluding motor trades and bars",94.3
Retail Sales Index Value Unadjusted,2015 April,"All retail businesses, excluding motor trades",94.0
Retail Sales Index Value Unadjusted,2015 April,"All retail businesses, excluding motor trades, automotive fuel and bars",93.6
Retail Sales Index Value Unadjusted,2015 April,"Retail sale of food (4711,4721 to 4729)",100.7
Retail Sales Index Value Unadjusted,2015 April,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",87.2
Retail Sales Index Value Unadjusted,2015 April,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",94.4
Retail Sales Index Value Unadjusted,2015 April,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",89.0
Retail Sales Index Value Unadjusted,2015 April,"Retail sale of electrical goods (4741 to 4743,4754)",79.6
Retail Sales Index Value Unadjusted,2015 April,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",91.9
Retail Sales Index Value Unadjusted,2015 April,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",75.0
Retail Sales Index Value Unadjusted,2015 April,"Other retail sales (4753,4763 to 4765,4776 to 4778)",74.5
Retail Sales Index Value Unadjusted,2015 April,"Retail sale of books, newspapers and stationery (4761,4762)",76.9
Retail Sales Index Value Unadjusted,2015 April,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",91.6
Retail Sales Index Value Unadjusted,2015 May,Motor trades (45),91.9
Retail Sales Index Value Unadjusted,2015 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",99.1
Retail Sales Index Value Unadjusted,2015 May,Department stores (4719),86.4
Retail Sales Index Value Unadjusted,2015 May,Retail sale of automotive fuel (4730),106.3
Retail Sales Index Value Unadjusted,2015 May,"Retail sale of hardware, paints and glass (4752)",113.4
Retail Sales Index Value Unadjusted,2015 May,Retail sale of furniture and lighting (4759),75.5
Retail Sales Index Value Unadjusted,2015 May,Bars (5630),101.6
Retail Sales Index Value Unadjusted,2015 May,All retail businesses,93.5
Retail Sales Index Value Unadjusted,2015 May,"Motor trades and automotive fuel (45,4730)",94.0
