Statistic,Month,Taxation.Class,value
Vehicles Licensed for the First Time,1996 July,All Vehicles,18011.0
Vehicles Licensed for the First Time,1996 July,New Vehicles,13169.0
Vehicles Licensed for the First Time,1996 July,New Private Cars,10959.0
Vehicles Licensed for the First Time,1996 July,New Goods Vehicles,1430.0
Vehicles Licensed for the First Time,1996 July,New Tractors,172.0
Vehicles Licensed for the First Time,1996 July,New Motor Cycles,263.0
Vehicles Licensed for the First Time,1996 July,New Exempt Vehicles,215.0
Vehicles Licensed for the First Time,1996 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",130.0
Vehicles Licensed for the First Time,1996 July,Secondhand Vehicles,4842.0
Vehicles Licensed for the First Time,1996 July,Secondhand Private Cars,3716.0
Vehicles Licensed for the First Time,1996 July,Secondhand Goods Vehicles,388.0
Vehicles Licensed for the First Time,1996 July,Secondhand Tractors,329.0
Vehicles Licensed for the First Time,1996 July,Secondhand Other Vehicles,409.0
Vehicles Licensed for the First Time,1996 July,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1996 August,All Vehicles,12724.0
Vehicles Licensed for the First Time,1996 August,New Vehicles,8362.0
Vehicles Licensed for the First Time,1996 August,New Private Cars,6582.0
Vehicles Licensed for the First Time,1996 August,New Goods Vehicles,1106.0
Vehicles Licensed for the First Time,1996 August,New Tractors,129.0
Vehicles Licensed for the First Time,1996 August,New Motor Cycles,250.0
Vehicles Licensed for the First Time,1996 August,New Exempt Vehicles,185.0
Vehicles Licensed for the First Time,1996 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",110.0
Vehicles Licensed for the First Time,1996 August,Secondhand Vehicles,4362.0
Vehicles Licensed for the First Time,1996 August,Secondhand Private Cars,3433.0
Vehicles Licensed for the First Time,1996 August,Secondhand Goods Vehicles,342.0
Vehicles Licensed for the First Time,1996 August,Secondhand Tractors,255.0
Vehicles Licensed for the First Time,1996 August,Secondhand Other Vehicles,332.0
Vehicles Licensed for the First Time,1996 August,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1996 September,All Vehicles,11274.0
Vehicles Licensed for the First Time,1996 September,New Vehicles,6737.0
Vehicles Licensed for the First Time,1996 September,New Private Cars,5162.0
Vehicles Licensed for the First Time,1996 September,New Goods Vehicles,1091.0
Vehicles Licensed for the First Time,1996 September,New Tractors,96.0
Vehicles Licensed for the First Time,1996 September,New Motor Cycles,194.0
Vehicles Licensed for the First Time,1996 September,New Exempt Vehicles,101.0
Vehicles Licensed for the First Time,1996 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",93.0
Vehicles Licensed for the First Time,1996 September,Secondhand Vehicles,4537.0
Vehicles Licensed for the First Time,1996 September,Secondhand Private Cars,3608.0
Vehicles Licensed for the First Time,1996 September,Secondhand Goods Vehicles,367.0
Vehicles Licensed for the First Time,1996 September,Secondhand Tractors,216.0
Vehicles Licensed for the First Time,1996 September,Secondhand Other Vehicles,346.0
Vehicles Licensed for the First Time,1996 September,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1996 October,All Vehicles,11449.0
Vehicles Licensed for the First Time,1996 October,New Vehicles,6461.0
Vehicles Licensed for the First Time,1996 October,New Private Cars,4815.0
Vehicles Licensed for the First Time,1996 October,New Goods Vehicles,1081.0
Vehicles Licensed for the First Time,1996 October,New Tractors,132.0
Vehicles Licensed for the First Time,1996 October,New Motor Cycles,211.0
Vehicles Licensed for the First Time,1996 October,New Exempt Vehicles,106.0
Vehicles Licensed for the First Time,1996 October,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",116.0
Vehicles Licensed for the First Time,1996 October,Secondhand Vehicles,4988.0
Vehicles Licensed for the First Time,1996 October,Secondhand Private Cars,4013.0
Vehicles Licensed for the First Time,1996 October,Secondhand Goods Vehicles,382.0
Vehicles Licensed for the First Time,1996 October,Secondhand Tractors,258.0
Vehicles Licensed for the First Time,1996 October,Secondhand Other Vehicles,335.0
Vehicles Licensed for the First Time,1996 October,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1996 November,All Vehicles,10242.0
Vehicles Licensed for the First Time,1996 November,New Vehicles,5289.0
Vehicles Licensed for the First Time,1996 November,New Private Cars,3768.0
Vehicles Licensed for the First Time,1996 November,New Goods Vehicles,1042.0
Vehicles Licensed for the First Time,1996 November,New Tractors,146.0
Vehicles Licensed for the First Time,1996 November,New Motor Cycles,151.0
Vehicles Licensed for the First Time,1996 November,New Exempt Vehicles,87.0
Vehicles Licensed for the First Time,1996 November,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",95.0
Vehicles Licensed for the First Time,1996 November,Secondhand Vehicles,4953.0
Vehicles Licensed for the First Time,1996 November,Secondhand Private Cars,3943.0
Vehicles Licensed for the First Time,1996 November,Secondhand Goods Vehicles,437.0
Vehicles Licensed for the First Time,1996 November,Secondhand Tractors,266.0
Vehicles Licensed for the First Time,1996 November,Secondhand Other Vehicles,307.0
Vehicles Licensed for the First Time,1996 November,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1996 December,All Vehicles,6595.0
Vehicles Licensed for the First Time,1996 December,New Vehicles,2786.0
Vehicles Licensed for the First Time,1996 December,New Private Cars,1946.0
Vehicles Licensed for the First Time,1996 December,New Goods Vehicles,531.0
Vehicles Licensed for the First Time,1996 December,New Tractors,87.0
Vehicles Licensed for the First Time,1996 December,New Motor Cycles,90.0
Vehicles Licensed for the First Time,1996 December,New Exempt Vehicles,75.0
Vehicles Licensed for the First Time,1996 December,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",57.0
Vehicles Licensed for the First Time,1996 December,Secondhand Vehicles,3809.0
Vehicles Licensed for the First Time,1996 December,Secondhand Private Cars,3022.0
Vehicles Licensed for the First Time,1996 December,Secondhand Goods Vehicles,341.0
Vehicles Licensed for the First Time,1996 December,Secondhand Tractors,217.0
Vehicles Licensed for the First Time,1996 December,Secondhand Other Vehicles,229.0
Vehicles Licensed for the First Time,1996 December,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 January,All Vehicles,21856.0
Vehicles Licensed for the First Time,1997 January,New Vehicles,17521.0
Vehicles Licensed for the First Time,1997 January,New Private Cars,14691.0
Vehicles Licensed for the First Time,1997 January,New Goods Vehicles,1979.0
Vehicles Licensed for the First Time,1997 January,New Tractors,262.0
Vehicles Licensed for the First Time,1997 January,New Motor Cycles,202.0
Vehicles Licensed for the First Time,1997 January,New Exempt Vehicles,192.0
Vehicles Licensed for the First Time,1997 January,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",195.0
Vehicles Licensed for the First Time,1997 January,Secondhand Vehicles,4335.0
Vehicles Licensed for the First Time,1997 January,Secondhand Private Cars,3373.0
Vehicles Licensed for the First Time,1997 January,Secondhand Goods Vehicles,420.0
Vehicles Licensed for the First Time,1997 January,Secondhand Tractors,258.0
Vehicles Licensed for the First Time,1997 January,Secondhand Other Vehicles,284.0
Vehicles Licensed for the First Time,1997 January,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 February,All Vehicles,20289.0
Vehicles Licensed for the First Time,1997 February,New Vehicles,15775.0
Vehicles Licensed for the First Time,1997 February,New Private Cars,12982.0
Vehicles Licensed for the First Time,1997 February,New Goods Vehicles,2038.0
Vehicles Licensed for the First Time,1997 February,New Tractors,168.0
Vehicles Licensed for the First Time,1997 February,New Motor Cycles,210.0
Vehicles Licensed for the First Time,1997 February,New Exempt Vehicles,168.0
Vehicles Licensed for the First Time,1997 February,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",209.0
Vehicles Licensed for the First Time,1997 February,Secondhand Vehicles,4514.0
Vehicles Licensed for the First Time,1997 February,Secondhand Private Cars,3504.0
Vehicles Licensed for the First Time,1997 February,Secondhand Goods Vehicles,428.0
Vehicles Licensed for the First Time,1997 February,Secondhand Tractors,237.0
Vehicles Licensed for the First Time,1997 February,Secondhand Other Vehicles,345.0
Vehicles Licensed for the First Time,1997 February,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 March,All Vehicles,20497.0
Vehicles Licensed for the First Time,1997 March,New Vehicles,15961.0
Vehicles Licensed for the First Time,1997 March,New Private Cars,13548.0
Vehicles Licensed for the First Time,1997 March,New Goods Vehicles,1716.0
Vehicles Licensed for the First Time,1997 March,New Tractors,174.0
Vehicles Licensed for the First Time,1997 March,New Motor Cycles,238.0
Vehicles Licensed for the First Time,1997 March,New Exempt Vehicles,159.0
Vehicles Licensed for the First Time,1997 March,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",126.0
Vehicles Licensed for the First Time,1997 March,Secondhand Vehicles,4536.0
Vehicles Licensed for the First Time,1997 March,Secondhand Private Cars,3544.0
Vehicles Licensed for the First Time,1997 March,Secondhand Goods Vehicles,427.0
Vehicles Licensed for the First Time,1997 March,Secondhand Tractors,218.0
Vehicles Licensed for the First Time,1997 March,Secondhand Other Vehicles,347.0
Vehicles Licensed for the First Time,1997 March,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 April,All Vehicles,22137.0
Vehicles Licensed for the First Time,1997 April,New Vehicles,16953.0
Vehicles Licensed for the First Time,1997 April,New Private Cars,14131.0
Vehicles Licensed for the First Time,1997 April,New Goods Vehicles,1971.0
Vehicles Licensed for the First Time,1997 April,New Tractors,164.0
Vehicles Licensed for the First Time,1997 April,New Motor Cycles,282.0
Vehicles Licensed for the First Time,1997 April,New Exempt Vehicles,225.0
Vehicles Licensed for the First Time,1997 April,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",180.0
Vehicles Licensed for the First Time,1997 April,Secondhand Vehicles,5184.0
Vehicles Licensed for the First Time,1997 April,Secondhand Private Cars,3969.0
Vehicles Licensed for the First Time,1997 April,Secondhand Goods Vehicles,479.0
Vehicles Licensed for the First Time,1997 April,Secondhand Tractors,275.0
Vehicles Licensed for the First Time,1997 April,Secondhand Other Vehicles,461.0
Vehicles Licensed for the First Time,1997 April,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 May,All Vehicles,21954.0
Vehicles Licensed for the First Time,1997 May,New Vehicles,17024.0
Vehicles Licensed for the First Time,1997 May,New Private Cars,14159.0
