Statistic,Quarter,Business.of.Owner,value
Tonne-Kilometre,2009Q1,All business activities,3519
Tonne-Kilometre,2009Q1,Transport,2116
Tonne-Kilometre,2009Q1,Other,1403
Tonne-Kilometre,2009Q2,All business activities,2900
Tonne-Kilometre,2009Q2,Transport,1785
Tonne-Kilometre,2009Q2,Other,1114
Tonne-Kilometre,2009Q3,All business activities,2666
Tonne-Kilometre,2009Q3,Transport,1510
Tonne-Kilometre,2009Q3,Other,1156
Tonne-Kilometre,2009Q4,All business activities,2985
Tonne-Kilometre,2009Q4,Transport,1853
Tonne-Kilometre,2009Q4,Other,1132
Tonne-Kilometre,2010Q1,All business activities,2705
Tonne-Kilometre,2010Q1,Transport,1613
Tonne-Kilometre,2010Q1,Other,1091
Tonne-Kilometre,2010Q2,All business activities,3006
Tonne-Kilometre,2010Q2,Transport,1814
Tonne-Kilometre,2010Q2,Other,1192
Tonne-Kilometre,2010Q3,All business activities,2727
Tonne-Kilometre,2010Q3,Transport,1722
Tonne-Kilometre,2010Q3,Other,1004
Tonne-Kilometre,2010Q4,All business activities,2487
Tonne-Kilometre,2010Q4,Transport,1591
Tonne-Kilometre,2010Q4,Other,896
Tonne-Kilometre,2011Q1,All business activities,2589
Tonne-Kilometre,2011Q1,Transport,1722
Tonne-Kilometre,2011Q1,Other,867
Tonne-Kilometre,2011Q2,All business activities,2620
Tonne-Kilometre,2011Q2,Transport,1691
Tonne-Kilometre,2011Q2,Other,929
Tonne-Kilometre,2011Q3,All business activities,2572
Tonne-Kilometre,2011Q3,Transport,1809
Tonne-Kilometre,2011Q3,Other,763
Tonne-Kilometre,2011Q4,All business activities,2160
Tonne-Kilometre,2011Q4,Transport,1391
Tonne-Kilometre,2011Q4,Other,769
Tonne-Kilometre,2012Q1,All business activities,2627
Tonne-Kilometre,2012Q1,Transport,1850
Tonne-Kilometre,2012Q1,Other,776
Tonne-Kilometre,2012Q2,All business activities,2571
Tonne-Kilometre,2012Q2,Transport,1796
Tonne-Kilometre,2012Q2,Other,775
Tonne-Kilometre,2012Q3,All business activities,2480
Tonne-Kilometre,2012Q3,Transport,1718
Tonne-Kilometre,2012Q3,Other,762
Tonne-Kilometre,2012Q4,All business activities,2218
Tonne-Kilometre,2012Q4,Transport,1498
Tonne-Kilometre,2012Q4,Other,720
Tonne-Kilometre,2013Q1,All business activities,2293
Tonne-Kilometre,2013Q1,Transport,1618
Tonne-Kilometre,2013Q1,Other,675
Tonne-Kilometre,2013Q2,All business activities,2552
Tonne-Kilometre,2013Q2,Transport,1710
Tonne-Kilometre,2013Q2,Other,843
Tonne-Kilometre,2013Q3,All business activities,2342
Tonne-Kilometre,2013Q3,Transport,1654
Tonne-Kilometre,2013Q3,Other,688
Tonne-Kilometre,2013Q4,All business activities,1950
Tonne-Kilometre,2013Q4,Transport,1365
Tonne-Kilometre,2013Q4,Other,585
Tonne-Kilometre,2014Q1,All business activities,2676
Tonne-Kilometre,2014Q1,Transport,1937
Tonne-Kilometre,2014Q1,Other,739
Tonne-Kilometre,2014Q2,All business activities,2482
Tonne-Kilometre,2014Q2,Transport,1774
Tonne-Kilometre,2014Q2,Other,709
Tonne-Kilometre,2014Q3,All business activities,2414
Tonne-Kilometre,2014Q3,Transport,1721
Tonne-Kilometre,2014Q3,Other,692
Tonne-Kilometre,2014Q4,All business activities,2200
Tonne-Kilometre,2014Q4,Transport,1537
Tonne-Kilometre,2014Q4,Other,663
Tonne-Kilometre,2015Q1,All business activities,2305
Tonne-Kilometre,2015Q1,Transport,1574
Tonne-Kilometre,2015Q1,Other,730
Tonne-Kilometre,2015Q2,All business activities,2535
Tonne-Kilometre,2015Q2,Transport,1798
Tonne-Kilometre,2015Q2,Other,737
