Statistic,Quarter,NST.Group,value
Tonne-Kilometre,2009Q1,All NST 2007 goods,3519
Tonne-Kilometre,2009Q1,Products of agriculture forestry and fishing,274
Tonne-Kilometre,2009Q1,Coal and natural gas,59
Tonne-Kilometre,2009Q1,"Quarry products, metal ores and peat",448
Tonne-Kilometre,2009Q1,Foodstuffs,746
Tonne-Kilometre,2009Q1,Textiles and leather,131
Tonne-Kilometre,2009Q1,"Wood, pulp and paper",200
Tonne-Kilometre,2009Q1,Coke and refined petroleum products,288
Tonne-Kilometre,2009Q1,Chemicals and plastics,257
Tonne-Kilometre,2009Q1,Other non-metallic mineral products,204
Tonne-Kilometre,2009Q1,Metal products (except machinery and equipment),111
Tonne-Kilometre,2009Q1,Machinery and equipment,135
Tonne-Kilometre,2009Q1,Furniture and other manufactured goods,47
Tonne-Kilometre,2009Q1,Secondary raw materials and waste,77
Tonne-Kilometre,2009Q1,Other NST 2007 goods,542
Tonne-Kilometre,2009Q2,All NST 2007 goods,2900
Tonne-Kilometre,2009Q2,Products of agriculture forestry and fishing,203
Tonne-Kilometre,2009Q2,Coal and natural gas,38
Tonne-Kilometre,2009Q2,"Quarry products, metal ores and peat",375
Tonne-Kilometre,2009Q2,Foodstuffs,767
Tonne-Kilometre,2009Q2,Textiles and leather,12
Tonne-Kilometre,2009Q2,"Wood, pulp and paper",177
Tonne-Kilometre,2009Q2,Coke and refined petroleum products,230
Tonne-Kilometre,2009Q2,Chemicals and plastics,130
Tonne-Kilometre,2009Q2,Other non-metallic mineral products,204
Tonne-Kilometre,2009Q2,Metal products (except machinery and equipment),77
Tonne-Kilometre,2009Q2,Machinery and equipment,91
Tonne-Kilometre,2009Q2,Furniture and other manufactured goods,56
Tonne-Kilometre,2009Q2,Secondary raw materials and waste,57
Tonne-Kilometre,2009Q2,Other NST 2007 goods,483
Tonne-Kilometre,2009Q3,All NST 2007 goods,2666
Tonne-Kilometre,2009Q3,Products of agriculture forestry and fishing,231
Tonne-Kilometre,2009Q3,Coal and natural gas,28
Tonne-Kilometre,2009Q3,"Quarry products, metal ores and peat",299
Tonne-Kilometre,2009Q3,Foodstuffs,713
Tonne-Kilometre,2009Q3,Textiles and leather,78
Tonne-Kilometre,2009Q3,"Wood, pulp and paper",72
Tonne-Kilometre,2009Q3,Coke and refined petroleum products,164
Tonne-Kilometre,2009Q3,Chemicals and plastics,80
Tonne-Kilometre,2009Q3,Other non-metallic mineral products,280
Tonne-Kilometre,2009Q3,Metal products (except machinery and equipment),85
Tonne-Kilometre,2009Q3,Machinery and equipment,96
Tonne-Kilometre,2009Q3,Furniture and other manufactured goods,59
