Statistic,Month,State,value
Total Imports,1970 January,State,66395
Total Imports,1970 February,State,68667
Total Imports,1970 March,State,65722
Total Imports,1970 April,State,77403
Total Imports,1970 May,State,74432
Total Imports,1970 June,State,67512
Total Imports,1970 July,State,71347
Total Imports,1970 August,State,62344
Total Imports,1970 September,State,69328
Total Imports,1970 October,State,82711
Total Imports,1970 November,State,76743
Total Imports,1970 December,State,75295
Total Imports,1971 January,State,74711
Total Imports,1971 February,State,77505
Total Imports,1971 March,State,108029
Total Imports,1971 April,State,81543
Total Imports,1971 May,State,86012
Total Imports,1971 June,State,75511
Total Imports,1971 July,State,78203
Total Imports,1971 August,State,66420
Total Imports,1971 September,State,73886
Total Imports,1971 October,State,78876
Total Imports,1971 November,State,80654
Total Imports,1971 December,State,76133
Total Imports,1972 January,State,77316
Total Imports,1972 February,State,80199
Total Imports,1972 March,State,89809
Total Imports,1972 April,State,80928
Total Imports,1972 May,State,94683
Total Imports,1972 June,State,87062
Total Imports,1972 July,State,80614
Total Imports,1972 August,State,71745
Total Imports,1972 September,State,90884
Total Imports,1972 October,State,106885
Total Imports,1972 November,State,104718
Total Imports,1972 December,State,106702
Total Imports,1973 January,State,109825
Total Imports,1973 February,State,113623
Total Imports,1973 March,State,117617
Total Imports,1973 April,State,112793
Total Imports,1973 May,State,130486
Total Imports,1973 June,State,114510
Total Imports,1973 July,State,127381
Total Imports,1973 August,State,112012
Total Imports,1973 September,State,108215
Total Imports,1973 October,State,147523
Total Imports,1973 November,State,138893
Total Imports,1973 December,State,112843
Total Imports,1974 January,State,138426
Total Imports,1974 February,State,152201
Total Imports,1974 March,State,184473
Total Imports,1974 April,State,193142
Total Imports,1974 May,State,205823
Total Imports,1974 June,State,169648
Total Imports,1974 July,State,190203
Total Imports,1974 August,State,167011
Total Imports,1974 September,State,163349
Total Imports,1974 October,State,186578
Total Imports,1974 November,State,157912
Total Imports,1974 December,State,156103
Total Imports,1975 January,State,183087
Total Imports,1975 February,State,183729
Total Imports,1975 March,State,158258
Total Imports,1975 April,State,181906
Total Imports,1975 May,State,190020
Total Imports,1975 June,State,160320
Total Imports,1975 July,State,184715
Total Imports,1975 August,State,144405
Total Imports,1975 September,State,170196
Total Imports,1975 October,State,204371
Total Imports,1975 November,State,201365
Total Imports,1975 December,State,196643
Total Imports,1976 January,State,197505
Total Imports,1976 February,State,216243
Total Imports,1976 March,State,257709
Total Imports,1976 April,State,241980
Total Imports,1976 May,State,251128
Total Imports,1976 June,State,242863
Total Imports,1976 July,State,241810
Total Imports,1976 August,State,216447
Total Imports,1976 September,State,253920
